screen_name,description,label,,,,,,,,,
bookerpr,"33 years a husband, 27 years a father of 4, 17 years an entrepreneur that strategises for fun; an exponent of the Balanced Scorecard, Blue Ocean strategy & IIoT",31-59,,,,,,,,,
hughie_go,60+ husband and father with a wry look on the world. LibDem. Dormant on Twitter until Brexit - ardent Remainer. Railway and MG geek. RT does not = agreement.,over60,,,,,,,,,
2carolclark,Passionate Arsenal season ticket holder. and grand mother of 4 ! Now retired and loving it.Loves Blues and Country music,over60,,,,,,,,,
AlanGurr,"maths graduate - professional psychotherapist (retired) - amateur drama director, actor - parent - grandparent",over60,,,,,,,,,
bottomley74,"A loving father of handsome twins, husband to a scot! #followmeifollowu a yorkshire man whose sons for some inexplicable reason follow lanky..#thearchers",31-59,,,,,,,,,
teixeirahambro,Simply a woman who is a mother and home maker,31-59,,,,,,,,,
vicbeas,"52% - Proud, hard working, Charlton supporting, mother of three thoroughly decent young adults - I’ve done something right!",31-59,,,,,,,,,
mr_springy,Married to Christine for 29 yrs & father to Jess Tom & Will #Blessed. “It is not the critic who counts but the man who was in the arena”,31-59,,,,,,,,,
FreddSays,"30 yrs E. Africa,Middle East, China, Britain. Royal Society for Asian Affairs. Royal Television Society. English Speaking Union. Bhutan Society. Politeia.",below30,,,,,,,,,
angleinaconte,"18. luv sitcoms, trains n gordon brown's indy ref speech. edinburgh uni. 🏳️‍🌈🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿",below30,,,,,,,,,
JoshNDawson76,18 - Peterborough - Marathoner in Training 🏃🏻‍♂️- Politics 🗳 - A Level Flunker 🤦🏻‍♂️,below30,,,,,,,,,
breakingthelaur,22 // she/her // @BalancePowerUK // @UniofGreenwich // 🇬🇧 Labour/🇺🇸 Democrat // @Labour_Trans co-founder,below30,,,,,,,,,
FChamberlain44,18. Labour member. Socialist. French speaker. Anti-Brexit 🇪🇺. Liverpool Riverside CLP. Afrobeats. Bisexual #BWithTheT 🏳️‍🌈 #Lisa4Leader,below30,,,,,,,,, 
anukhela,"2019Back Boris. 2018Campaign Director Joy4Ldn. 2018Conservative Council Candidate, Ealing. 2017Campaign Director Ealing General Election. Ealing SN board S&S",,,,,,,,,,
jt1656,"24 years in the British Army. member of the Conservative and unionist party. 

Usual disclaimers",31-59,,,,,,,,,
Lala_BabyX,23. Mediocre lifeform. Possum enthusiast. Political hardass. Cool Ranch Dorito.,below30,,,,,,,,,
ag0ny_in_v4in,19 • artist • vegan • the tree of life bears no fruit unless it's rotten to the fucking core • @misguided_s0n • he/him,below30,,,,,,,,,
mwhittle_,20 // musician,below30,,,,,,,,,
AlexKEastwood,20 || Musical Theatre Student 🎶,below30,,,,,,,,,
BARSONMARS,73 year old staunch conservative and Brexiter. Retired but still keep interest in Cyber Security Lived in many countries and now 100% England. PLEASE - NO DM's,over60,,,,,,,,,
Reacher085,"27, Graphic Artist",below30,,,,,,,,,
elena_bunbury,22 / Tory Staffer / Unapologetically Northern / @millwallrugby / The Original #ToryTinder / @SadiqKhan-“I know who you are” / Reviewing the papers for @bbc5live,below30,,,,,,,,,
BenHowe_1999,"19 | Kent 🏡| Greenwich 🏛 | Politics and International Relations Student | President of @grepolsoc | Like,RT not always endorsements |",below30,,,,,,,,,
d_m_simmons,"22yr old Conservative Party Member, Formula 1 fanatic, and proud supporter of Liverpool FC",below30,,,,,,,,,
CantLikeTheMike,"17 Year Old From Leicester 
💙Conservative💙
❤Leicester City Football Club❤",below30,,,,,,,,,
