,screen_name,description,label
109,MattCJBaker,Former professional football now with dodgy knees.,31-59
127,UKPolicePensUtd,A platform for us Old&Bold Cops still drawing breath & pension; sitting on loadsa corporate memory & experience. Speaking up for those still serving who can't.,
153,LisaCrosher,Person with over 35 years experience. Parent of 3 feral kids. Wife of a blunt but patient man. Fan of the colour green.,31-59
181,MC_IT_Training,Maintaining standards while everaging state of the art systems with established expertise to benefit individuals and communities.,
339,rakehurst2,Proud Brexiteer. I have just entered my ninth decade of life’s experience. Many good things have happened but many bad things too. Bad parenting is my pet hate!,
382,indiapolo,"Social work professional  Born in Uganda ,Residing in UK. Indian origin. Interested in spiritual learning and community/voluntary  work. Love India.",
714,DanielS46378626,"Rat Catcher, expert in very little, compassionate person.",
791,TrickyDicky47,"Forty seven years experience in civil and structural engineering, including twenty seven years in positions of management. Projects have ranged in value to $75M",over60
1015,jonquin81721408,Followed tax planning advice from professional tax advisors and now find myself continually bullied and intimidated by HMRC,31-59
1228,uncleporkie,"Years of publishing, retail and broking experience resulting in a wealth of common sense, cynical humour & expectation.",over60
2052,FensecLtd,"Fencing & Security, Automatic Gates, Bollards, Barriers, Turnstiles, Gabions, Designers & Constructors. 35 Years experience at all levels.",
2099,HuntersBR7,"An independent estate agency franchise owned and run by Adrian Lawrence with 30 years experience in property, over 20 in Chislehurst.",
2149,EfficiencyNorth,Not-for-profit organisation making a difference to member landlords' communities in Yorkshire & Humber with innovative professional services  for social housing,
3741,Graham4Health,"Providing expert, professional advice on private medical insurance and cashplans for SME businesses, professionals and individuals",
4285,GemmaOTPhD,Photo elicitation. Lived experiences of older women. Occupational justice. Social action #occupationaltherapy #feminist Proud @Girlguiding volunteer,31-59
4290,theRCOT,RCOT is the professional membership body for occupational therapy staff in the UK. Join us today https://t.co/4riZmlw1tv,
5049,tonyhazell3,"Retired Media professional who can now say what I like,  love Europe but hate the EU and the only Tory in the village",over60
5244,suepascoe001,My life experiences made me who I am. My choices today will make me who I am tomorrow. All posts in my personal capacity. Retweets or likes not an endorsement.,31-59
5627,SouthShieldsOni,"Conservative Parliamentary Candidate for South Shields. Procurement, Supply Chain, Logistics expert.       Facebook; Southshieldsoni",31-59
