,screen_name,description,retired
47,thepoordears,"A modern Grandma, retired butcher, strong on good manners and respect for one's elders and Law & Order",1
457,bagpiperay,"I am a retired Consultant Child Psychologist. I like cycling, motorcycling, cookery, music and running a successful boy’s football team.",1
494,BILDERBERG_GP,"THE BREXIT PARTY. Originally Government Scientists, Motor trade director, Prison Officer. Ardent Brexiteer PTSD disabled retired. NO DM's. SERIOUSLY NORMAL!!",1
653,davidericstan,"Sailor, Adventurer, Support Democracy, retired worker.",1
701,MazzieParsons,"Animal lover, police family for 18 years; now retired due to RA, proud Brexiteer.",1
776,DoyleGerry,"Ex-Army 27 years ex RSM, retired Captain",1
1061,NormaCKH,"Conservative Councillor for the Wetherby Ward in Leeds CC. Ex-Mayor of Wetherby, retired Prison Governor.Working with ward colleagues for local residents.",1
1165,wrafter_colin,"retired Irish diplomat; board of @MiseanCara; hon sec @RIADawson SC international affairs; member @IIEA. Brexit, human rights, development.",1
1517,simon_brew,"Conservative councillor for Purley & Woodcote ward, Croydon. retired IT consultant, grandparent, loves Spain & motorbikes, hoping to improve duplicate bridge.",1
1615,BoxDgz,"World traveller, dog lover semi retired.  Do love to trade in Stocks and Forex. Views I take on  stocks and shares are mine only, do NOT take this as advice.",1
1620,HarryLynch2,I am 75 and retired. love travelling favouite place is Las Vegas followed by West Indies and Scotland. Staff of @lollythecat & @EricMcBrug,1
1648,charleydog1,"sports nut, dog nut and retired Detective. re-tweets are not necessarily endorsements",1
1692,SheilaGunny,Early retired Mathematics Lecturer in Further Education College in South Yorkshire. Love dogs.,1
1920,RodBluh,Semi-retired. Trustee of Wilts & Berks Canal Trust.Former Cllr & Leader of Swindon Borough Council. No longer member of a Party.Tweets are in private capacity.,1
2248,MJohn59655,Royal Navy Veteran with 16 years before the mast ex Subpostmaster former JP and retired Housing Assn Chairman. My OWN personal rants about issues of the day.,1
2324,fbear999,Politically light Blue. Semi retired.  Hoping  for a good  deal on Brexit. Celebrating a great result for British democracy. Want more money for Public services,1
2914,keithelaine,Now retired and having my wonderful wife and family looking after me,1
3761,Steve_highstar,"I am now retired and spend my time on diy, loafing and politics. A committed free thinker, atheist and lover of rock guitarists. RT mean ‘look at this’.",1
4225,Rugbymumkayla,"Worked for the Emergency Services all of my adult life... nurse then police officer,retired and missed work,I now have the best job ever at my local hospice!",1
4489,Covbluenose,"A retired pharmacist . I am also a Type 1 diabetic patient, a lifelong Birmingham City fan and, literally, centre right on the political spectrum!",1
4913,Ron55596079,"I’m a retired business man, economics graduate who is a big Brexiteer and Conservative voter",1
5146,SelfCleanAir,Semi-retired - just passed on the TiO2 Technology to sister company's in Germany & Norway ( https://t.co/PuAXXpkUNG)  Now watching it progress from the north of Thailand,1
