,screen_name,description,label
536,disha404,International Relations MSc student. University of Surrey. Sociologist at heart,below30
1225,politicsastar,"News & debate especially for A-level politics students. I'm Head of Politics at the leading, academic, co-ed boarding school in the north of England. Insta too",31-59
1563,harshatsilva,"Journo @Lankadeepanews 🙄🤪bibliophile, a serious cricket fan , occasional 📷 Earthbeing trying 2b more human, student as always. Edward R. Murrow @StateIVLP",below30
1771,dasgupta_sauro,"UG student of International Relations, Jadavpur University,Kolkata, India.

Interests- debate, MUNs, geopolitics, strategic thinking, reading, writing,fitness.",below30
1909,DTaylor75103399,"Retired, Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿 & proud to be British, studying Classical history. Music, travel, news & Brexit",over60
2900,c0mat0es,"Living off proceeds of 48yrs' stamps on NHI card, 45 paid and three waived, as student.",over60
4085,CorbynOutNow,"Northern, LGBT, studied holocaust literature, Master of Science, Batchelor of Arts, centrist. Anti-Corbyn.",below30
4186,quadtee,#englandcricket #englandrugby #Kentcricket |#marvel | Hate animal cruelty | #geek #techlover | If anyone cares currently studying at the #openuniversity,
4218,AlastairJT,21 | University Of Bath Economics & Politics student | Conservative | Activist for Cardiac Health Reform,below30
4287,LecturerMish,"Occupational therapy educator & PhD student. Interests: systems thinking, economic evaluation gender equality & human rights. Tweeting in a personal capacity.",below30
5490,BorkowskaAlicja,Conservative Party candidate in the local elections in 2010 and 2018; Tory activist; studied politics and journalism,
5813,DavidHuggins66,Passionate about #ODP and supporting students through good mentoring. Norwich City fan and family man.All views are my own. RTs aren't but may be interesting!,31-59
6020,ThomasGosling5,Medical student passionate sailor lifetime conservative,below30
6257,SofiaKyawSein,Conservative / History and Politics student / Frustrated daughter of non voting parents / Immigrant offspring / Orchestral and Classical music fanatic,below30
6309,MCekavicius,| 20 | British Lithuanian | student | unapologetically @Conservatives | capitalist | sometimes libertarian | the youngest cllr candidate in London in 2018 |,below30
6350,OscarCullinan,"One-Nation Conservative, A-Level student, exiled Lancastrian, Northampton Saints supporter // Pragmatism over Partisanship' // 17 🇬🇧",below30
7649,justalittlechat,Final Year Law student at University of Roehampton,below30
7937,CllrLJones,"Mayor and @Conservatives Councillor for Overton & Five crosses & chair of planning for @frodshamtc.  
CAD Technician @randlewhite & PT student @SalfordUni",
8205,AdamBantfield,"Marvel/Taylor Swift/Star Wars loving Economics student. I tweet, albeit not exclusively, about all of those. Likely to be found fan casting a better cabinet",below30
8760,alexxxbrookss,21 | MSc Microbiology and Infection student @UoBbiosciences | Social liberal | Secular humanist | WTA fan 🎾 🌳,below30
9258,Zak_Wagman,I tweet on politics (blue) and football (red). History student. Former council candidate. @Arsenal FC youth representative. 🇬🇧✡️🇮🇱,below30
9380,nat_eck,Chair of @Tameside_YC | Politics student | Rower | @iealondon Intern 2019 | All views are my own,below30
11521,teacherthom,"Teacher and student, in no particular order",31-59
11562,brexology_uk,"'brexology' : the study of political and economic self-harm.  https://t.co/BVAegsnrim
🗳️ https://t.co/w0YRLQJlaV",
11604,seusssl,"Was mature student in  BA & MA Politics  (Newcastle Uni). EU Rejoiner, Labour, ex teacher, England cricket  and Newc Utd fan. Rescue lurcher owner.",over60
11715,Alice_Lovegood_,"international student in uk
politically homeless
I m a remainer thank u very much",below30
11882,vanessaptweets,"Student at ION. Juggling marketing, studying and life over 50.",over60
12129,Gweilouk,"Father, Armchair astronomer, Guitarist, Mountain & Road Bikes. Science student with #Openuniversity #AvailableForPanto",31-59
12412,mousebiber,Big Fan of Scotland! Unfortunately Ex-resident due to Brexit; Making a home in NL now. Professional know-it-all  (comes naturally when you study Physics),
12545,bookishwgc,"Solicitor, former Government lawyer, bibliomaniac, opera lover, gardener, student of Tai Ji Quan, cook and bottlewasher. “Remainer vermin”; #WeWillBeBack",31-59
12793,English_YL,Young and student Liberal Democrats in England. Chair- @Worralljack Join us today! https://t.co/mYi9BKni3A,below30
13230,Lawyerlinguist1,"Languages graduate 🎓 
Erasmus student
Fluent in French , Spanish . Some Portuguese and Italian
Employment Law Solicitor 
Law lecturer/tutor",below30
13420,maelysdervenn,"Without the EU I wouldn't have had the freedom to love, study and work in three European countries",
13430,alice_2618,16 | london | student | vegan,below30
13673,IanRobinson,"Writer, walker, secularist, optimist, Apple enthusiast, cinema lover, hobby musician, science junkie, perpetual maths student, cricket fan, chess patzer.",below30
13702,zoka64620384,Research student UEA Norwich. Proud graduate of both University of Brighton and UWE.,below30
13726,GraceGrace90,"Retiree,U3A student, volunteer. Into using my time to help others & prove there is life after retirement!",over60
15401,BradenDavy,"Councillor, Economic Development spokesperson for Angus. Unionist 🇬🇧

MSc Economics student.",below30
15850,CarrKeelan,"Ex-SpAd and speechwriter at No10 and Scotland Office, some-time English student, current wastrel. Insta: @krcgram",
16745,Paul_C_Chapman,"British animal lover, amateur photographer, and classical liberal. At various points a genetics student and financial services change delivery professional.",
18163,ROGERBEYNON1,Ageing student of life.,
18216,dunkleybrighton,"22 year old. Conservative and Unionist 🇬🇧 Political economy student. 

#GotBrexitDone",below30
20179,CovUni_CS,"Bringing together like-minded students for discussions on politics, campaigns, and topical debates.",
20872,OllyScargill,"Medical student.🇬🇧
Prospective Tory candidate for Wingrove ward",below30
22353,AnthonyMcKenna9,A person with great respect towards people who show it Friends. Politics studying & @Conservative Member,below30
24483,bowmanator97,"politics student at University of Kent, one-nation, pro-free speech & individual liberty. #COYS #GoPackGo",below30
24558,TheGrumpyLE,Serving British Army Officer. Doctoral (DBA) student. My views are personal. They do not represent those of the British Army or Defence.,
24701,JackiKillick,"Married to an Englishman but proud to be https://t.co/QQAV6F3vEP dog. Ex student teacher, ex wpc. Retired. Pro Leave. https://t.co/PCTQ1OTOai DMs unless I know you. Won't reply.Will block",over60
24865,KaluMazi,A Biafra man with the interest of Biafra people.A student of Mazi Nnamdi Kanu and radio Biafra,31-59
