,screen_name,description
423,GargoyleSpanker,Just a man that doesn't believe in any god or political correctness.
600,GabiMoomin,soul of grumpy old woman in body of grumpy old woman - who knew?
651,Evelyn24287876,Irish woman with conservative leanings
1542,PeterRenfrew,"Mr Peter - International man of mystery, wanted in several countries, known for my sparkling  wit and repartee"
1932,PaulausTirol,"Grumpy old man living in rural North Yorkshire and Austrian Tirol.  LUFC fan, antiques apprentice and serial European traveller."
2020,AWorriedMan,"A man worried about where this country is heading and despairs about the future. Pro UK, anti EUSSR and globalism."
2319,NabilNajjar1,Wiltshire man | Director @ToryProgress | Councillor | @Conservatives Deputy Chair for the South West |  Catholic
2475,NotRichYoungFa1,"Family man caught up in #LoanCharge nightmare.. no rich fat cat, no luxurious lifestyle... no future?"
2828,Streakyblue1951,A woman full of days and fortified by fish makes her path along life's mysterious way.
3733,Albert_Steptoe,Rag and Bone man living in Shepherd's Bush with son Harold and Horse we called Hercules. Voted Leave in #EURef Proud Conservative-despise Socialism.
4123,AshtonWpashton,"Just an ordinary man whom has all the faults of the next man. But with an undying love for 🇬🇧old fashion some may say, but we will all get old.😁"
4842,lowprofile007,"Yorkshire man & family guy, living in Berkshire, interested in windsurfing, rugby, finance and politics (probably in that order)!"
5117,MiniMobile,Apparently old profile was passe.. so gorgeous middle aged woman joining world of twitter!
5495,AcroAman,One suave & debonair feline. I’m the most handsome man in the world. My stories are about life in the dark tower where my masters think they are in charge. MAGA
6136,MartinTwigs68,Kentish man living in Yorkshire. Father to 4 wonderful young adults. believe we're destroying our planet our country and our culture.
6147,CallandBernard,"Grumpy old man who has seen it all, but has promised himself not to die before he sees the end of Government by the Tory Party."
6692,chinaJCub,"'A fool thinks himself to be wise, but a wise man knows himself to be a fool' Shakespeare - retweets are not endorsements - Brexit Done 🇬🇧"
7747,Ossieblue,"A grumpy old man in the making, opinionated, prone to regular rants when watching beloved Chelsea FC, or when behind the wheel of my car. Voted Brexit."
8656,MaryDenise22,1950s woman waiting for pension  Good sense of Humour ..
10459,noel_satchell,the love of my woman janice hardman we are clean honest and engaged
10840,JamesAlexKirby,"Family man blessed with 2healthy kids & a beautiful wife. Do a bit of #property development, made mistakes but learnt from them. Less @Stirlindev more me"
11447,TDoyleCarasol,"Passionate Remainer, Compassionate Human. Prepared to man the barricades against those who would destroy our liberal democracies in the UK, EU and even the USA."
11684,RachelG21879460,raising teenage man cubs to be good citizens of the world who should be able to travel freely #Pro EU. No to small mindedness and racists
12352,RightAngleUK,"Rather grumpy, emotionally lefty old man annoying people in his retirement - 100% pro-Europe & getting greener every day, so unlikely to be popular with Tories!"
12612,Dr_Moo_,"A man who loves food, drink, good humour, a bit of smut, sports, LFC and music"
12883,Sendall,"Professional 'Mustard Cutter' and Dad occasionally masquerading as Barrister, Mediator, Photographer, Actor and Cook. The man who took the I out of arise"
13353,Ricochetrabbitt,"Grandson of Spanish Donegal immigrants and Derbyshire miners. Truth, equality and justice.  A good man in a bad time. Et in arcadia ego
#IStandWithCarole"
13447,POCX100,"Parsons Jack Russell, #EU citizen, man of leisure, if you voted #Brexit suck it up! #Aspergers #NAS, I speak Irish English & not Kipperish."
14377,MornnigGlory,Self-Made man - confident reliable honest caring. I stand judged on nothing more than a glance.So careful how quick you click -You may miss a trick!
14775,Mrflamingheck,"Grumpy middle aged man who is an accountant, likes trains, real ale, horse racing and the free market! Don’t ignore my vote! All views are my own, thankfully"
14806,Macira1,"Jesus said No man knoweth the Son, but the Father; neither knoweth any man the Father, save the Son, and he to whomsoever the Son will reveal him"
15170,MLeCraquepot,A man who envisions daily a Spitfire slicing through the air and the noble 'Few' young men whose legacy these appalling politicians squander
16877,bottomley74,"A loving father of handsome twins, husband to a scot! #followmeifollowu a yorkshire man whose sons for some inexplicable reason follow lanky..#thearchers"
17034,MartinRaynes,"Semi retired man out in the sticks - enthusiast for classical music, history, astronomy, cricket and philosophy."
17336,faridi_lovely,I am common man belong from islaam
18050,Sherman44,"I am a 64 year old man who has worked hard & stayed loyal to the UK flag. Fighting corruption in EU, police, lawyers & politicians."
18666,jeffjames49,"An ordinary man trying to make sense of a crazy world, where common sense seems to have been mislaid."
18764,NigeWhite,"Just a man born to be! Graphic design, illustration, music, people and computers are my thing! I also like to wind up over zealous people. Proud grandpa! ;)"
18922,DuxburyPatricia,Ordinary woman who leads an ordinary life and enjoys it. No DMs.
18993,duckford10,Arsenal fan. A WWII aviation follower and all to do with the sky. have blogged for @arsenation #AST member. https://t.co/ZrW0cxflKS Religion is man made...
19243,HD2onPBdotcom,Happily living in rural England.  One man Think Tank. Seldom thinks 'inside the box'! Like provoking arguments with the consensus view: Darwinism beats Marxism
19291,Bill_Cameron,Events from UK. Married gay man 🏳️‍🌈🇨🇳🇬🇧. #Conservative #SNPout. #Brexit 👍. No DMs! No Lists. RTs ≠ nor imply agreement. GAB as https://t.co/4ACHy6U7UT
19715,Marc_Lee1,"Just a man with a mission to save the world 😀 

just call me and I will be there, in spirit 😆"
20186,philipson1979,"Army Chef, Dad, Arsenal, Vale46, StarWars, Yorkshire man & England Till I Die"
20211,reviewing_the,“You may remember my early days; I was sort of a bleeding heart liberal. Then I became a man and put away childish ways.” Ronald Reagan.
20223,manwithamop,"Gadget man with OCD tendencies. Like sun, sciences and sci-fi. Hate cold-callers, jobsworths & FakeNews. Ex telecom engineer turned domestic serf. #ForBritain"
21528,AngelaPower7,Brexiteer and passionately British and proud of my culture. Strong woman who enjoys liberty and wants to keep it that way.🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧
21899,JanSwatridge,Yorkshire woman living the slow life on NB QISMA. Cruising the Irish Waterways since March 2016.
22007,john41539411,I am the luckiest man married to a sexy  wife  💏⚘🌶🍾🛏☔📸📹🗝🔞☯️ 🤘👠💄👚👗👙👛👜📿🐃♠️♥️🏩🗄🛅🕎✡♀️♂️👿😈👄💋💍🆓️🇮🇱🇬🇧👫👬👭📿🕶🕵️‍♀️🕵️‍♂️🔥🌡📽🖥♋🕸
22344,adelaid76506895,Very upset with Carrie Lam. Is she still a human? She is the most evil woman in the planet n she doesn’t care about HK citizens at all
23738,ratqueen01,I am a disabled woman and I am a Political Scientist and political activist who supports Scottish Independence
24602,ChrisAldus,🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧I’m like the blind man in the dark room looking for the black cat......... that isn’t there
24865,KaluMazi,A Biafra man with the interest of Biafra people.A student of Mazi Nnamdi Kanu and radio Biafra
25634,SamSmit17075896,Hello everyone I am gay man who like to have and good time!
26331,MarkEdonLabour,Labour man in Tory Morley & Outwood. Democratic socialist. Humanist. I report & block abusive people. Opinions my own. DM if you want a cuddly Corbyn.
27402,DroningonUK,Grumpy old man - from birth
29238,wildwalkerwoman,"Disabled, dirt-poor, state pension-deprived woman being healed of the social/political lie that I'm worthless, by real-life angels posing as *ordinary people*"
29461,FatBoyJim222,"Big man from Brum, currently living in Church Stretton Shropshire, interested in cooking, cuisine, local food and online media"
29998,unitedgirl566,"little bit older lady, man u supporter and england fc married.like to walk dog and swim to keep fit"
31063,kilkeal,"Married old sarcastic over imbibing man  . Antis EU, PC, Pros courtesy, monarchy and common sense. A retweet does not mean a recommendation. Sometimes maybe."
31362,TonyKayjo55,"spurs man for more than 50yrs fighting cancer for the second time thank, you Royal Marsden and the NHS, 2019 new start new beginnings new energy new beliefs"
32369,Michael27271,"Calm, honest, down to earth, romantic, God fearing type, have wicked sense of humor, romantic and a good kisser lol. Single man would love to meet someone  nice"
32462,nomadicflea,"old school Leeds fan.grumpy old man . love Europe hate the EU.
l also try to publish good news,that for some reason,the BBC and other British media  miss"
32685,PlattsJim,Grumpy old man robbed of 1yr pension. Want parliementry & judicial reform. Believe in restorative justice. And a 5 Yr residency rule for mp's and councilors.
