,screen_name,description
34,earthtochl0e,23. lit grad. I do the games.
47,llanerchymedd12,62 single male no significant other. Welsh speaker who has retired to N Wales 2 female kittens. like You Tube old films reading and Liverpool F.C.
55,minxymartin,"74 years old, Retired Geek, Coxswain, QPR since 1962"
101,DanielN91607442,"19
Unite, Labour Member⚘,  Corbyn Supporter. 

Software Developer

DTS Degree Apprentice

Scout Leader ⚜

Opinions are my own, not that of others."
104,fussydolphin,"30 years as a voluntary worker, Love the NHS, am a firm believer that Older People should be treated with Dignity   No DMs Please"
167,raylondon66,74 years old . Labour Party member for 50+ years  Millwall supporter. Comments & retweets do not equal endorsements.
189,GLADERIEL,"61 became disabled after working most of my life, enjoy reading, all things internet, within reason,like to laugh,care for people hate tories and Ukip a"
192,unojen_wood,10 years and counting of the stinking Tories. How much more can we take before we stand up and say NO MORE. RT's are interesting and not endorsements.
283,Credoseek,"21, D&D, Nerd, Fake Flag Design, Pizza Delivery Boi, Indie Game Designer, not PM of Albion RP (fb/RoleplayParliament), Labour & Coop Member, he/him"
284,Papajoe1407,73yr old Labour through and through. Hate Social injustice! Thats why I support Jeremy Corbyn. They think it's all over! oh and a MUFC season ticket holder!
393,onlyconnect71,79 year old liberal Remainer. Retired from education. #FBPE #RevokeArt.50
456,itrainedflowers,21🌹she/her🌹 @salforduni 👩🏻‍🎓 @uklabour 🌹 pro wrestling dork 🤼‍♀️ the revolution will be twitterised🏳️‍🌈✊ insufferably left wing
663,drdan97,20 | NTU | Vegan🌱
696,becadjue,"70 Happily Married : 3 kids, 5 grandchildren. GCSE psychology Labour party mbr RT does not mean endorse. I don’t answer DM’s"
801,EmilyBlake4SWN,"2019 Parliamentary Candidate for SW Norfolk @swnclp 2019
RTs & Follows do not necessarily mean agreement"
1087,DoctorT1992,59. Shaun. LUFC.130kg.  6ft4  LS15 IQ27
1804,colleenbawn1,2019 electorate failed to understand Brexit noise & establishment propaganda. Racism& xenophobia triumphed. 💔 #IStandWithJC ❤️
1852,Jimithejim,40k
1878,jw_turnock,23 #PVFC fan. Really quick swimmer - done 6 charity swims so far. Training to be an actor/singer/dancer. Life is what you make it 😃🎤
1890,Shakatak7,"1950's women, state pension stolen six years ZERO NOTICE. Seeking justice.  RGN.  Hate bullies and liars.  Retweets are no endorsement s"
2370,Mountainin2015,2015 & 2017 Labour Parliamentary candidate for Mid Sussex. Yorkshireman & 50 years supporting LUFC.
2629,terrymiles,"68! Husband, Father and Grandfather, No dogs, No Tories, No Religion too. Reader, Learner, Writer, Ex-Many Things. Regrets? I’ve had a few but then again..."
2923,pete3291,"999 ambulance Clinician. Described by PM Jonhson as blue collar, drunk, criminal, aimless, feckless working class guy!
Labour till I die,"
3318,HuhOliver,"19. socialist & trade unionist. a rank amateur interested in democratic & green economics, communities and anti-authoritarian politics. 🌹🏳️‍🌈"
3393,___Who__Cares,24/7 Unpaid Carer disillusioned with UK politics & broken promises. Laughter is often the best medicine. Supporting; #JC4PM🌹#BasicIncome & more .....
3596,obsessedCrowtea,24/she/her 🏳️‍🌈🏳️‍🌈
3682,DoryTeller,20|Socialist
3932,annieehargrove,21 // UoM // she/her
3944,AaronKane18,"25 Voted Yes, next time it’ll be an emphatic YES. Scots must decide our future not tories. Brexit, poverty and war is all WM has to offer. #ItsTime #NewScotland"
3974,BlighF1,53 year old railway worker.  F1 fan. Happily Married with 2 grown up sons .
4031,nxphe_,21. art school. nonbinary ⚧ (they / them) pan. disabled. care leaver. RASH anarchist. addict. Ⓥ animal fan 🦔 #osteogenesisimperfecta 🐀 #transrights #blm
4205,MadThundaBanton,10Star General @ MadMan Army aka Mad People's Gang! Crazy Selector/DJ/MC/Artist/Entertainer (https://t.co/jhG8tBHEgr) & very proud Father! https://t.co/RXBxNWQ0eq
4229,sheilaRNBD,2020 Resist & fight the Tories. Proud Labour Party member. Democratic Socialist #CorbynIsRight. Live/work Scotland & Spain. Mother to 4. Wife to 1 #Solidarity
4305,HurtyOwl,35. #Labour #ExMomentum #Progressive #Republican #MMT #Economics #GreenNewDeal #SWFC #Dortmund #FM2020 scratch handicap 🏌️‍♂️
4495,FChamberlain44,18. Labour member. Socialist. French speaker. Anti-Brexit 🇪🇺. Liverpool Riverside CLP. Afrobeats. Bisexual #BWithTheT 🏳️‍🌈 #Lisa4Leader
4523,thundergay2049,26. Chaotic Demi Gay. Non-Binary. Film Writer/Lover. Activist. Insomniac. #Labour. (They/Them) Wachowskis stan. . #RLB/Dawn4deputy
5177,sxranya,18 // libsocy socialist // @blackroselabour // feminist // 🏳️‍🌈// professional disaster 🥴// she/her
5357,gruffyth,55percent right. Resisting our Murti-Bings.
5465,MrsBurgin,113 years of Labour parliamentary representation in Cumbria was swept away in order to satisfy some Twitter hashtags. And I’m absolutely furious about it.
5712,mickhump,"65 yr old, Former Airborne Sapper, Husband/Father/Grandfather/Lib Dem/piano player (very poor)/Saints fan/ cant believe my life/wife is so wonderful."
5824,StarryRami,22🌸.// الحمد لله
5980,eric_cranston,"30 years a techie, part-time alcoholic. Still hate Thatcher. I’m watching the UK/US axis disintegrate one scandal at a time."
6279,RuthMayorcas,40 Years + in Chiswick | Safe Cycling Campaigner | Ex-BBC drama production | Youth Offending Volunteer | Passionately anti-single use plastic
6366,Rad1Omar,18 // Mainly Politics // New Labour
6491,TonyGentGD1,"900 ha Zero-Till Farmer of Combinable crops and free range eggs.
Inventer of the GD zero-till opener."
