,screen_name,description,label
20,Shambles151,"Official Site of happily married grandfather songwriter bouzouki player birdwatcher and anti-Tory.
No unexplained wealth order has been served on me.",
21,CaroleAlexande5,"Retired teacher, church secretary, mother and granny. Interested in following Jesus, the arts, politics, reading, walking, gardening and travelling the world.",over60
96,johncoxonmedia,"Retired Salford (S.E.N) & Award winning modern languages teacher, pro-photographer .73,000 + tweets to date .Proud dad & grandad. What you see is what you get.",over60
208,BuryHatchet,"Parent, grandparent, poet, singer, artist, wordsmith. Works at Stroke Association. Loves music, football, the great outdoors and Deeply Vale 
Brewery",
481,georgeshome,retired after 35 years. working mother of 3. wife of a teacher in state education for 40 years. scared for what’s going to happen next to our country ✊🏻🌹,over60
522,jacquelinecoke2,married to Colin my soul mate and got 4 lovley daughters.3 grandaugters.proud of all of https://t.co/OBb0eoZHF4 my 2 https://t.co/LtBk3xm0ZM fishing Kio and work in school 20years,
695,lottythegirl,"Wife, sister, mother, mother-in- law, grandmother to 11 thank God. Loves family, people, truth, justice and mercy. My views are my own.",over60
696,becadjue,"70 Happily Married : 3 kids, 5 grandchildren. GCSE psychology Labour party mbr RT does not mean endorse. I don’t answer DM’s",over60
753,catethetwaate,"bolshi wallflower,political cynic,tennis fan and mother of 2.also proud geordie.",
873,Keepitrunning25,"Motorcyclist, bike trade lifer, ride all year. Have ME, cancer survivor, coeliac, grandad, divorced, Atheist, Socialist, Republican, Remainer",
880,bmj999justin,"Father, grandfather. Nothing changes IF nothing changes.Something has to. #GTTO",
942,51goats,"Have 2 lovely daughters, a grandson, a dog; am a Quaker.  An EU citizen.",
956,thinkthisthru,"Translator (French and Spanish, mother tongue English).  Interested in world affairs and the arts.",
1107,pims50,"Lived in Ireland, now back in London, with a great affection for  Uganda in Africa ... love being back with the grandkids.",
1129,DavidWilliBrown,Respectful and equality seeking father cutting through the nonsense and banality.,31-59
1239,suehu1,"i am a mother of three, married and have been a social worker since 1990. I grew up in working class east london and my politics are left of centre.",
1602,Solutionprovida,Single parent trying set up a Social Enterprise to help people with problems by empowering them to help themselves. Hoping to get the Tories out in #GE2019,31-59
1656,bevmolx,"Wife to Al, 4 daughters, 2 granddaughters, 3 grandsons. Practice Nurse, UNISON #FreePalestine #FreeGaza #inclusiveChurch",31-59
1745,RCorbynout,"Old Sweary Passionate ANTI BREXITEER ANTI TORY..Tactical voter.. Ret headteacher , doting grandparent, married an awfully long time..",
1835,buffybatik,"Artist, flautist & grandma
🌹Proud to be a socialist🌹

#BatikArtist #BorderCollies #EDS #Deafness",over60
1910,GallaghetJo,"Mother grandmother , lifelong voter, keen interest in national and international politics. Love history literature and poetry.",
1920,Mo1is2sad,Likes keeping busy but happily retired. Loves walking with my husband. Have great children and grandchildren. Interested in politics and keep up to date,
2037,pbholmes,Husband and father to two boys whom I learn from everyday. Writer of scripts and books for all ages and species. Trainee Northerner and loving every minute.,31-59
2228,JacquieQ1967,Nanny jack to my 5 grandchildren x,
2339,bridgetwolves,"Engineer, counsellor, theatre lover, singer, SCFC fan, grandma, knitter, prayer leader",
2546,ChristineStace2,"🌹Proud mum, grandma, socialist. GTTO",
2586,themrgnu,"life long Labour voter , and proud father of a solid Labour supporting family. firm believer in justice, equality and fair play for all... That’s me",
2606,chriselaine3,Mother and grandmother.  Waspi woman.  Lifelong Labour supporter who loves Jeremy Corbyn.   Living in hopes of seeing an end to vile Tory rule.,
2723,leonardi_damian,"Human,partner of 1 father of 5,anti racist anti austerity, anti war, anti tory,pro NHS, pro labour #openselection#mandatoryreselection",
2749,mavis0701,"Wife, mum and doting grandmother. A licensed lay minister and committed Christian socialist. Regular traveller to WA. Needs must!",over60
2928,johnlangdon26,"Retired, father of 3, and Welsh. Bliss. 
Supporter of The Labour Party the NHS and good education from birth to death free on demand.",over60
2931,BaynesMelanie,"Proud mum, grandma, wife, friend. Proud to be Labour through and through.",
3007,hohomojo,"Vegetarian single parent of two boys. Amateur yogi. Likes: books, baking, music, pizza, the smell of the sea; walking; beer; a cup of tea, politics, law.",
3065,VoterThanet,"Passionate about democracy. Wish that everyone would vote. I'm a parent and grandparent and concerned for their future. Volunteer at Gap Project, Broadstairs",
3105,iris_mansi,#VOTELABOUR I struggle because my pension was stolen😡 Retired London Firefighter with 3 daughters and 1 grandson 💗 No DMsEVER!!! #NoWarWithIran,
3151,4evapoison,mom of 3. grandmother of 3. Corbyn the best PM we will never have.  Believe in democracy. . Dislike tories. Remainer.DPAC. disability rights.Climate Change.,
3319,logansteven,"Janice longair..from ayr  live in Dreghorn grandsons.steven, logan,alfie & grandaughter olivia ...support worker",
3477,Diverami,"Quaker, retired, grandmother of 7 including two boys with ASD, type 2 diabetes, socialist.",
3655,smartysue,A Labour Party activist and grandma of 2 - great admirer of Jeremy Corbyn - The best PM we never had 😥😥😥,
3753,Littlemo1949,"Divorced,3 children,8 grandchildren,Love Music,L.F.C.and my little dog Poppy who without her life wouldnt mean anything",
3861,paulmccarthy16,Social worker. Parent and grandparent. Labour Party activist.,over60
4102,PigeonKaren,"Married to George Gordon, three JRs Wally, Maisie & Dennis. Five grandchildren, Leon, Alice. Matthew and twins, Jacob and Charlie. Gloucester Labour member.",
4108,lucy_henery,Miners Daughter granddaughter.greatgranddaughter.Survived two miners strikes thru love resliance determination and courage. JC4PM .Tories OUT.,
4171,labourblackrose,"Proud pensioner & member of @UKLabour, Momentum & Unite. Mother and grandmother, saddened by the amount of hate generated by certain individuals. #JC4PM",
4584,piphilthims,"Dispossessed vicar Proud to be Luke, James & David’s Dad & Aria’s grandpip Love @vonsmiths Twitter is just a chat down the pub Aka @trainingvicar x",
4588,rachelmewes1982,Northumbrian mother of a little star with Down's Syndrome. Founder of Three 21. Proggy-Mat maker.,31-59
4637,JohnTurrell,"Singer song writer, vocals with Smoove and Turrell. Proud father of 3, ♥️Labour Party, Voice on Totally Wired Radio, ♥️EU & BSFC https://t.co/iSls3hqXR4",
4790,LeftWing56,"Member of SPF. Socialist, Unite member married to Gordon, hibernian suppporter, mother, grandmother and dog owner. tweets my own views",
5290,JennySecretan,"Therapist, socialist, mother, now grandmother, and occasional scribbler",over60
5354,ElizabethClowes,"Working for social inclusion. Love cooking, reading, walking. Rather inept but keen gardener. Mother, partner and grandmother",
5796,Motherfantaskis,"Cornishwoman living in Essex. Wife, mother and organiser of many things. Spending a bit more time in the garden...",
5809,cllrjeavons,"I am one of 2 Labour Cllrs for Birchills-Leamore I am also a trades unionist, husband and father opinions personal",31-59
5858,JanetSisson2,"A decent baker. Love theatre, reading, walking.Helping to stop Brexit is the best gift I can give my grandchildren. Am my own person.",
6042,Suetum,"Proud to have started the HR Dept in 2003 helping SME’s with HR and employment law. Love HR ,my dogs, husband ,  feminist daughters and grandchildren",
6080,RNiallDMartin,"Retired intellectual historian, scientific background, interests in transport & Christian theology. Irish grandmother. Retweets not  agreement.",over60
6108,JudyEllerby,"Equality in education,  trade unionist, former teacher.  SEND and mental health parent and campaigner.",31-59
