,screen_name,description
47,llanerchymedd12,62 single male no significant other. Welsh speaker who has retired to N Wales 2 female kittens. like You Tube old films reading and Liverpool F.C.
147,tcurtisma,Senior Lecturer Faculty of Education Manchester Metropolitan University ( retired )
172,Tingletoot68,"Ex military ex Carer, retired. Love dogs. Hate bullies, liars and thieves so who the hell voted in the Tories again? Please do NOT add me to groups."
188,inthegroove01,"Labour party member, socialist, retired,soulie and not bad for an old bastard. Never forgive, never forget, Tories Out. Keep The Faith"
272,catchaminute,"Mum, sister, retiring Teacher, married to a Secondary Head (retired), hope to always make a +ve difference."
415,williamdbaker,"Still retired, still writing (I've even been dabbling in some general writing, rather than speculative,) guitar, golf, bridge, food, MOOC courses"
481,georgeshome,retired after 35 years. working mother of 3. wife of a teacher in state education for 40 years. scared for what’s going to happen next to our country ✊🏻🌹
681,narelleford,I’m a retired teacher who doesn’t quite understand the meaning of ‘retired’. Supporting The Brumbies since their first game.
762,bobjmsn,"Male, retired. Equality for all, regardless of gender, colour or sexual orientation. Society without socialism is not society, but exploitation of the weakest."
938,KenSheppard3,"Former Royal Marine, worked in Printing Industry now retired, former cycloholic, Lifetime Liverpool Supporter 🔴 enthusiastic guitar player"
982,whitneyali,"socialist, retired headteacher, mum to three who believes everyone should have a fair and equal chance in society, a good education, health care etc"
1298,soundabuse,"Washed up former teacher; failed poet; retired DIYer;
failed market gardener; as a failure, I'm a success"
1459,FlixtonCaz,I am really enjoying my life now I am retired.
1531,UniteCommCam,"Unite Community Camden Branch welcomes people in Camden who are unemployed, retired or students to campaign for change."
1678,Athemis2014,Fabulous Mother to an amazing baby boy! Background in accounts and retired DJ Agent and Event Organizer. New career coming soon - Watch this space!!!
1919,lindjw,"retired Secondary Head, gardener, cyclist, Francophile and Hispanophile,Labour member fed up with Tory ideological game using austerity , NEU"
1920,Mo1is2sad,Likes keeping busy but happily retired. Loves walking with my husband. Have great children and grandchildren. Interested in politics and keep up to date
1970,og_tessa,"Socialist, atheist, stoner, retired econ. editor.

You are who you are, and that's alright by me. But I am who I am, and that's all I can be."
2057,DocRods,"Dad ,husband ,Emergency Medicine NHS Dr, (tweets are solely my personal views not those of my employer) greyhound owner, 44, retired rugby player! Warhammer!"
2338,jmfkeating,I am retired.
2659,ASLEFNO1,"widower,retired train driver, aslef ex branch secretary,
labour supporter."
2989,Gandhi_ray,"previously worked as a clinical nurse specialist in dual diagnosis in Derbyshire, retired 4 years ago. Working part time for Age-UK Leicester shire and Rutland."
3054,Joocypeach,"Musician, Socialist & retired Civil Servant"
3420,Yah_Reed,"socialist, reader,labour,proud pleb,retired,worked in mental/h, Lfc. despise racism.atheist. female. don't like tories. #LabourActivist #JC4PM2019"
3477,Diverami,"Quaker, retired, grandmother of 7 including two boys with ASD, type 2 diabetes, socialist."
3720,JohnMas73850126,retired teacher and supporter of the Labour Party
3737,diroome,"Feminist, Socialist, Labour Party activist, retired Headteacher, current school governor, choir member, enthusiast."
3797,JimWill03159832,Happily retired.
4012,julony1,retired
4214,CaroleAllison9,Ex PA/administrator now happily retired.
4628,MilthorpRoger,I am a happily retired ex CEO and ex researcher/trainer. I have qualifications but they don't defne me. I have two much loved sons who are happlily married.
5724,HelenSalmon2,"I have recently retired from Headship after leading two schools in Devon. Enjoying an active retirement reading, keeping fit, volunteering and fighting brexit."
5790,katycole_kjc,"I'm retired, I invented dice as a kid 😉"
5993,thepoordears,"A modern Grandma, retired butcher, strong on good manners and respect for one's elders and Law & Order"
6256,silvergunner13,"Semi retired.
Now have time 2 enjoy life"
6571,TSLizR,"Wife, mother, grandmother, retired teacher. Thankful and grateful for today and every day."
6587,radiofourfan,"Socialist in a shire county; retired English  teacher, and local government manager. Volunteer French assistante."
6853,comerfordarcher,"Labour member,retired teacher (AH), love science and many other things."
7006,bfitzinAR,"grandma, mom, yellow-dog Democrat since 1980, former county-level elected official, retired secretary - motto: Every act of kindness is an act of Resistance"
7195,landeleanor,"Socialist, retired Library Asst., now living in West Yorkshire.  FBPE will be blocked"
7231,AnnBrunton,"mum, grandma, retired nurse. part time buddhist."
7381,LaddieHeilan,"Worked hard all my life, 
retired now 
so working hard for Scotland’s independence."
7638,AlysonY60468412,"Aly, retired, happy mother of 3 amazing adults, delighted grandma, #artist #jewellerymaker #spiritual #animallover #socialist #rEUnite"
8011,Goodixlady,"Mother of six awesome adults from Goodenough Island, Milne Bay Province, Papua New Guinea.Tok Pisin i orait.
Finally retired & global roaming #Kiribati #Tuvalu"
8134,everysmith,"60-something writer, radical, retired restaurateur and Red Sox fan"
8217,Alba40,retired NHS nurse british European living in Europe No pension #WASPI No right to vote having my eu citizenship taken away against my will #stopbrexit
8452,OfManor,"Hi I am john Humberstone KT
a Knight Templar & Lord of the Royal Manor of Winshill Staffordshire. retired now, but had an active role in the hotel industry"
8520,brucebantam,"Former community support worker, and for over 40 years a graphic designer. Now happily retired and, at last, doing what I want in life. Bradford City AFC. CTID!"
8834,gerardmush,"Educated at CBS, retired social worker, now independent teacher. Hill walker, poetry lover, and very intolerant of intolerance. Struggling I tweet incoherently."
8865,AsuHandcrafts,As I have now retired this is now my personal Twitter Account. I will continue to craft as a hobby only.
8998,Pipal1735,"Imps supporter, retired teacher, European."
9253,peta53,"Tories out! Proud mum and grandma, retired WASPI without a pension,  Labour supporter #JC4PM"
9397,Bebe111,"Wife, Mother, Grandmother, Gardener, retired Midwife/nurse, miniature poodle owner."
9487,mattezai,"Day dreamer, retired adman, professional farmer, spiritual leader of Firquat-ul-Qahiliya, Darth Vader & Superman according to which of my daughters you ask."
9527,brogs66,"Socialist,Republican,Atheist,Miner,Soldier,Singer,retired , currently doing MOOCS to stop my brain ossifying Retweets do not indicate agreement with content.✋"
9578,Chrisdowi,"Feminist, retired headteacher, Town Councillor, loves books, theatre, writing, countryside, tennis and all things French."
9655,GRonwyn,working at being recently retired
10038,IANGIBBONS3,"I am a DJ/ Compere/Host with over 40 years experience. two great radio shows The Barron Soul Show Northern Soul and DEE-STRESS  .Freemason, retired ODP"
10439,sianwymanglos,"Recently retired teacher/ lecturer passionate about all things in Early Years . Loves running, walking the dog and  camping in the camper van ."
10675,MrRamond,"QPR supporter since 1967 retired, plays for Cam and Dursley United Walking Football Club, #QPR #walkingfootball"
10844,AingeBarbara,retired Midwife
10925,wearthefoxhat55,"Labour Member, Gamer, Guitar collector, retired Public sector worker, now works for a charity. Views my own not my employer etc."
10980,smckerrel,"75 yr old Compassionate Democratic Socialist, Jeremy Corbyn gave me hope! retired member of the NEU and Unite Community member! Morning Star reader. #GTTO"
11257,rednotgrey,"retired ""baby catcher"" 😊"
11363,peterdcox,"Welsh immigrant, learner (still); consultant 'retired’, Wales NHS robot (new knees, prosthetic elbow, other bits kept going ..) Co-op Member Pioneer"
11489,Auntiewow,LLB FSRA retired. Env law and social justice. Passion: co-creation of projects that empower communities.
12286,maljb11,retired teacher. writer of fiction and semi-autobiographical stories shared with me on Facebook and elsewhere
12298,ChristineKuble2,"Newham resident since 1975, now retired, worked in social housing provision for many years. Mother and grandmother"
12420,Marianelise1,"Just retired.  Tried twice before.  Third time lucky.  Lifelong Labour supporter and party member.  Reading FC supporter since 1973. YRRRZZZZ!
Love to paint."
12526,dochawking,"GP,retired 31.3.13 because of Health & Social Care Act.
Long interest in Health Informatics, esp. UK GP EPRs & single shared records.
John Perry Prize 2009"
12594,suzyflipp,Socalist. #NHS trade union rep (retired) #Plymouth 🇬🇧 & 🇫🇷 Those who do not move do not notice their chains
12615,jfbacon1,Secondhand Bookseller retired after working in the IT Industry for 40 years Supporter of Hampshire and Southampton FC Dog Walker now Proud Grandfather of Digby
12850,22sarahjroberts,"Retired to country, love my garden & cooking my own produce. Chair at Thames Valley Air Ambulance, retired Chair of PCUK, my tweets are my own opinion"
13174,CheshirePete,"Mostly retired, travel a lot. Like politics, poetry, art, cricket, tennis, football, hillwalking, motorcycling, jazz, rock. Lover of life and people."
13283,WoollD,retired breastfeeding coordinator
13292,CHRISHU57032050,"Semi-retired teacher of maths and science, part time teacher and full time practitioner of yoga.  Dividing time between the UK and Spain."
