,screen_name,description
144,Baker_Ann_,A 1950s woman is a strong woman!Supporter of Waspicampaign2018 & other pension groups . Rts are not necessarily endorsements..
512,MccarthChase,A woman of colour who has always voted Labour. I will never be blue Labour and expect the Party I have continually supported to do the same for me.
660,lesgreen66,Very Proud #English #Gentleman #Socialist #Atheist I'm not a well man but I try to do me best! Season 49 watching the mighty #RAMS #dcfcfamily #DNA
821,space_cadets_,"pete dohertys number one fan-  i'm a cis woman and i dont mind what pronouns u use for me (virgo sun, aries moon, scorpio rising)"
997,faridi_lovely,I am common man belong from islaam
1154,Rosiejanele,Now Hereford woman saddened at the sheep who were my fellow citizens following the biased media. We should have won with Corbyn and rescued this dying country.
1261,marc_sugrue,LCB Assit. Night Manager. Labour Councillor Candidate for Little Thurrock & Blackshots. Husband & Family man and Fathers Rights Campaigner #Labour #Thurrock
1937,caro_oliviers,"‘No man is an Island’ John Donne, 1624. Wants to live, share, stay united, respect nature & each other in the EU. 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🐈🌱"
1962,wavekei,I am married to the most amazing woman in the world. BMW 5 series owner. Dachshund owner (in reality the Dachshund owns us). Like to be controversial.
2097,BStott9,"socialist, humanitarian , child of the universe. man City fan"
2139,Leodislass,"Yorkshire woman interested in politics, art and crafts,music, education and much much more! Only my personal opinions expressed here."
2272,CateToward,"I'm the oldest, shortest, fattest woman at Pilates, but hey, I'm at Pilates😎"
2416,billyliar9,"Everton fan,Fans Supporting Foodbanks Co Founder,Labour party member.If one man had a pound he didn't work for, some other man worked for a pound he didn't get"
3144,Eesy20,"I want to see full Human Rights for every man, woman and child, on the planet.   Not a Tory, never have been a Tory, never will be a Tory. No DM's, please"
3644,leizenomis,Disciple • Congolese woman • Creative producer - @apoetsspace_ (under construction) • Film critic (@/simemaa on IG) • Read my tweets with a lisp
3791,wildwalkerwoman,"Disabled, dirt-poor, state pension-deprived woman being healed of the social/political lie that I'm worthless, by real-life angels posing as *ordinary people*"
3965,RobPoolePottery,"Avid collector of Poole Pottery, gay man and supporter of LGB Alliance, Labour Party member who will always stand with Corbyn. pronouns never did me harm."
4036,julialesbianist,"Normal woman /

autistic / white / scotland / she/her/they/them /

❤️ @NadineHunter93


(this isnt my main social media so don't expect much of 'me' here)"
4212,Indyp17,"Welsh man in search of a fairer society | Politics, Labour, Nature 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌹"
4487,shellyreddy2,Disabled Mum of 2precious kids.Married to an amazing man who cares for me full time.Hoping that JC wins the next election to change our lives #ForTheMany #JC4PM
5662,davidcoppin,cant be arsed with this.  am looking after my old man still.  he is well old now.  93 in fact.
5963,JaynePDunn,small business woman & yoga addict
6060,ChallonerSara,Middle aged woman who used to have a life and never thought she'd have to spend her evenings on Twitter trying to fight Brexit madness.
6093,TDoyleCarasol,"Passionate Remainer, Compassionate Human. Prepared to man the barricades against those who would destroy our liberal democracies in the UK, EU and even the USA."
6476,0xFBADBEEF,We contend that for a nation to try to tax itself into prosperity is like a man standing in a bucket and trying to lift himself up by the handle - W Churchill
6746,GeneralWealie,"Eclectic, energetic and artistic. An intelligent and sensual woman of extremes, you'll never meet another like me."
6875,NorenHaq,"Muslim, homeschooling, procrastinating bananaphobic mad woman in the attic, attempting to get her scribblings published."
6876,RightAngleUK,"Rather grumpy, emotionally lefty old man annoying people in his retirement - 100% pro-Europe & getting greener every day, so unlikely to be popular with Tories!"
7183,neilfin54,Retired PRU teacher. Grumpy old man and cat lover. Views are my own.
7405,ProperMuppet,"In a complex, occasionally intimidating world, I am a simple man with simple needs."
8059,PeteCox7,An opinionated old man who wants to remain in the EU
8092,Robtyler5,"hockey, cafc, marine biology, cats, triathlons, iron man in training"
8518,xpressanny,"Liberationist, loath hypocrites, expenses fiddlers, tax evading cronies. OAP nuisance, community worker with all ages. Love my ol' man & dog❤️❤️"
8832,PeterPr73,"I am a family man keen birdwatcher lover of all things nature.  THORNABY FC FFC all ENGLAND TEAM games music ROY AYERS ACID JAZZ LONDON
BRONCOS RL.ETC"
9026,aliruane,"Bouncy voice actor, soundsmith, video and motion graphics producer, living in the Mecca of West Yorkshire. Blissfully wed and a happy dad.
luckiest man alive!"
9076,dessalean,alpha traditionalist • renaissance man • independent non-partisan • polemicist • anti-racism tactician | Death to white supremacy.
9262,thenorfolkrose,"When a man says hes looking for a real woman. I scurry away real quick as I'm actually three owls in a raincoat.
insta: the_norfolk_rose"
9731,razumova,I write books. Bollocks to Brexit. Grumpy old woman and general old git. Mental health issues. Rootless cosmopolitan. *Expect book promo stuff and politics
9736,Antonio05849523,Because the color of the man skin is no more significant than the color of his eyes 👦🏻👦🏿👦🧒🏼🧒🏽👦🏾
9887,OnnMel,"Shortly starting in ☀️ 💨 🌊 sector
I 🔇&❌ the misery moaners 👋🙄
Owner of @mistyretrieverpup IG
First woman MP for Grimsby 2015-19
This is all me, not my job"
10587,tassiedi,Die-hard WASPI. Love anything that will make me laugh. Grumpy old woman with attitude. Hate people who make my life difficult and who make victims of others!
10805,georgia_lowes,astrophys student/travel man wannabe
10820,ATW1062,"#JFT96 #LFC #SOS Though a quarrel in the streets is a thing to be hated, the energies displayed in it are fine; the commonest man shows a grace in his quarrel"
11325,BaronessGale,Rhondda woman in the Lords. Campaigns for more women in political & public life Co Chair of Parliamentary Parkinson's group. Shadow Minister Women & Equalities
11843,munna21848685,Nothing more than a man who cared enough to try
11900,albertpweale,Emeritus Professor of Political Theory and Public Policy UCL. Views my own.  'For what shall it profit a man to gain the whole world and lose his soul?'
12762,tyePowell27,"Snr. Parliamentary Assistant, Qualified Housing Professional. Chair @MTR_LabourParty, & Daddy plus GRAMPY to a handsome happy little man 🤴🏻Tweets personal.."
12940,KayStork,"Hate selfies. Like monkeys and cats. Socialist, feminist, atheist, drinking, swearing, ancient Welsh woman in London. Rather fond of Cornwall. x"
13272,JanetBLACKMAN10,1950s born woman - outraged at the abuse of women by the 3 main political parties in respect of the rapid escalation of the state pension age with no notice.
13946,lesleyanne14,"I get annoyed about the way we treat our planet, fellow man and leaving the EU/WHEN FACTS CHANGE, MINDS CAN CHANGE but this makes me deeply unhelpful."
14290,ianjohnston63,generous & outgoing but evolving into grumpy old man with didactic tendencies
14977,LisaMcConnell75,"married to iain have 2 cats Edmund and Melchett,  love agatha christie support man city love cricket!"
