,screen_name,description
941,mightymuffer,"old gamer,socialist,labour party member. Vote labour2019"
2109,walkuphill,"old, boring, arthritic, JoJo fan"
2802,coughtrie_john,"born Glasgow labour member,momentum member,"
3098,peterharris567,older animal lover who values truth honesty and loyalty! auld hippy who hates that the aristos/toffs berate poor for being poor! but toffs have never worked !
4045,dhelensmith,old crock; Shakespeare obsessed;mother of 2 ;grandmother of 2;struggling with the meaning of twitter.
5791,MartinE06262110,"born in Manchester, but brought up in rural Cheshire love Liverpool.  Hence the need for smart arse repartee. lived in France 2001-2016. Support the EU."
7293,spaceman_jamie,born in the 70s raised in the 80s  partied the 90s   #ForTheMany
7429,KenKenph59,"old hippy, Remainer, but you probably guessed...loves science, truth and honest politicians but can't find many."
10550,ErnNutt,born sheffield. no religion. married . labour(socialist). Mother. Nan.
18092,lynwis,old enough to know better than be on Twitter. I am a European living in Europe and so wish to remain in the EU. Revoke A50.
23877,leonminster,"born 1941, educated Taunton's School Southampton & Birmingham University. RT = understood: no more no less."
26320,jono_pce,born again cyclist
43581,r1tch2e,"born 1953, joined LP in 2015 after new direction. Originally from Gateshead. Ex engineer."
44639,bobbywoods59,"born a red, die a red. Lfc and family till the end......"
44715,ffferrara66,"old liberal, old democrat, old lady, bad typist and not so good on spelling - but you can work it out."
51375,CeceliaTruglio,"born in Brooklyn, New York, #Resist #FreeRealityWinner, Retired, Love my 14  year old Chihuahua Mitzy."
59214,wiganshale,"born Liverpool, now a Wiganer. Dislike our Parliamentary Democracy would prefer  a true Democracy. Retired Physics Teacher, dislike Pseudo-Scientists."
77336,jamesomallows,old climber and sailor
80358,tedhilary,born and raised in Tooting Lifelong socialist and Fulham FC supporter
111677,CookeLouise,"born in Bedford Falls, living in Pottersville. Anti-fascist and really pedantic."
112109,suffolk_peter,"born in Dorset, live in Yorkshire. Remainer and Lover of Rugby (Union - the real one)"
126224,Broonheed1,old enough to know better
