,screen_name,description
14,alistairwallld,18 | Bristol | Lib Dem | He/Him
45,George_Tr0,19 - 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇭🇺 - London/Nottingham - IR student - Centre-right - Zionist mouthpiece - Lib Dem - Macron stan 🇫🇷 - Insta: george.tr0
221,mickhump,"65 yr old, Former Airborne Sapper, Husband/Father/Grandfather/Lib Dem/piano player (very poor)/Saints fan/ cant believe my life/wife is so wonderful."
489,waywardcai,"19 / 🇬🇧 / 🇪🇸 / 🏳️‍🌈
Law at KCL"
900,erawnomiS,42. mostly harmless
1549,MainesChris,"2016/2018 Chair of London 
2020 Lib Dem list candidate for London Assembly 
#LoveLondonBetter
#BetterwithBenita"
2067,johndoran1,100% European 0% Gammon @wokinglibdems campaigner for Horsell
2091,AJChapmanauthor,25 years as a doctor and now an author.Three novels published and a fourth due in December 2019
2110,steviweavi,"100% FOREIGN! Tolerance & respect of other cultures enriches life's experiences. Remainer, have a problem with that, then jog on! #ExitFrombrexit #Peoplesvote"
2114,SilverWidow,"1950s-born widow, pension deferred twice, job-seeking and barely clinging on financially. Savings almost depleted so something will have to give soon."
2330,terminallytang1,"31 January 2020 = Doris Day: duplicitous, oligarch appeasing, recklessly irresponsible, sell-out day. To the end, to the end, We Remain."
2438,Joel_Dowler,17 | Politics student | Member of the Liberal Democrats 🔸️ (@YoungLiberalsUK @HaltonLibDems) | @HaltonYC #youthvoice 🗣 | All views are my own
2980,ch_1401,20 | @WakefieldLibDem member | Save the rhinos 🦏🌱 | pothole enthusiast
3448,LHMackay,"50s, one son, happily married, Scot living south of the border -love tweeting about politics. I have had 3 strokes."
3602,martin97903661,"100% Remain, 100% Anti-Tory, Voting to dump Tory at all cost Save NHS, Save all Services, Fix Destitution, Fix Rail, Gas, Electric, Water, etc."
3715,TerenceKnott1,"28 years Commandos, then NHS, own companies U.K./Spain. Led U.K. charity assistance dogs for disabled. Retired, living S of France. Anti Brexit unpaid vol Renew"
3998,GardenersArms73,"45 #iameuropean, married to @bogusianowakows @thechrisbarron is a great guy. #weloveeu #Europe #EU. 🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺 #ReJoiner #FoM"
4304,Edward_Duncan,"47 years old a genius of some sort. Is an oracle in that sometimes I see the future 🔮, but doubt in myself and for others in this is important.🇪🇺#FBPE"
4812,B3CPres,"100% Revoker, reject the 2016 Referendum, despise the hostile environment policy."
4978,Petros_AC,21. Commercial Music Student at Bath Spa. President of @BSULibDems. Liverpool Fan. Ex-Londoner.
6478,Belfastatheart,"100% Northern Irish, Proud European, and will be beyond the delusional Brexit! My opinions are my own and they are not for changing, don’t even try!"
8311,OliveEaton16,"12:00 on 23.07.2019 election of BJ, a.k.a Alexander Johnson, a.k.a Britain Trump, we reach bottom, Dante's Hell, a cold place without truth: shameless deceit"
8613,remontvposaderu,25 лет
8726,kateheydonorg,"2012 acute proximal DVT with delayed diagnosis of 5 1/2 weeks, leading to clawed R. foot. Former half marathon runner. Earth sciences. Cycles for fun/transport."
9009,TheOldLostRoad,26yrs ME/CFS. Mother of daughters. Left/Green. I like humble people. I am mostly very quiet.🕊
9027,Deborah12474068,"58 years old, be a grown up eventually!"
9062,MadeintheBridge,30 year old (basically 26) RN who is passionate about #patientsafety #999family #mentalhealth #NurseTwitter #Resp #mensmentalhealth 🏳️‍🌈 Views are Patricia’s.
9430,FrauBooka,"25 yrs as Head of German, resident in Bucks & Bavaria Now pt Tutor of German.❤️ Germany,Europe & multiculturalism but hate Brexit with a passion. Views my own"
9521,onlyconnect71,79 year old liberal Remainer. Retired from education. #FBPE #RevokeArt.50
9656,Adrian110527,"53.2307°N,05406°W"
10079,DanielM_W,25
10270,JanetBLACKMAN10,1950s born woman - outraged at the abuse of women by the 3 main political parties in respect of the rapid escalation of the state pension age with no notice.
10476,aaronjamesf1,"28, Cornish | @southamptonfc, Robot Wars, Motorsport fan, love @manics & @chvrches | MRes, BA (Hons) Journalism, Media Producer | Views Own | RT=not endorsement"
10824,lukeejeffery,20 | Co-Chair of Devon and Cornwall Young Liberals @YL_DC | Youth Dev Officer @TivHonLibDems | Lib Dem District Councillor Honiton St Michael's @eastdevon
11205,1230jackie,"1230 TWC |networker|international speaker|trainer|connector|Business connections wherever there are business women|speednetworking|pink, purple hair!"
11668,mandybrar12,49 turning 21. Lib Dem local councillor for the cookham!
11755,AishaJMir,"2019 GE Parliamentary Candidate.
Businesswoman who wears many hats. Liberal, outward looking and progressive. Views are my own, RTS not endorsements"
12202,_freyahope,"17, conservative, care leaver, christian. personal account, for serious stuff follow @freyahgreenwood"
12662,jakelibdem,"2019 GE candidate for the @SalfordLibDem in Salford & Eccles. Fighting for a Liberal voice on Salford Council in 2020. 

✉️ - jake@salfordlibdems.org.uk"
12962,askhertostand,"50:50 Parliament #AskHerToStand working with all Parties inspiring & supporting women to Parliament., encouraging them to #SignUpToStand 🙌to help them win seats"
13084,jimbolene,"54, Hitched, 2 old kids...well that is what they say they are, but i suspect they are something far more sinister. Bewitched"
13746,hassaanhch,25. Used to be an account for public transport discussion. But 2016 unleashed racism and xenophobia that have made me unwelcome in the country I was born in 😡
14320,morganvickers11,"18, Uni Student. That’s it really."
14387,LukeTaylorLD,"2019 LD Candidate for Mitcham and Morden, 2015 LD Candidate for Battersea, trying to be part of the solution."
14503,Jamorgan1950,70th year
14896,doublemacc,"20th Century Sci-Fi & Double Macchiatos | Founder, @IG_Advisors | CEO, @MisfitsMedia | Chairman, @Lightful"
15052,Snoozette1,"2016: Voted Leave - regretted it immediately &
campaigned to StopBrexit | 2019: Voted Remain - I will always be European. I will always be a #RemainerNow"
15313,lester_hickling,"36yrs Labour member, Unite,Momentum,medium size Business owner, looking for a fair unbiased media.retweet’s do not signify agreement or support,don’t answer DMs"
15540,no1fiftiesfan,40 years in property management (boring!!!)   and   20 years in online education(exciting). Worn out - waiting to retire!
17419,JulieMontoya20,"45 out of 46 cannot be called a failure by any reasonable person.
As well as, not instead of.
You/She/Her (locally,her/her). Inverse Pescetarian. 
#girlslikeus"
