screen_name,description,label
George_Tr0,19 - 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇭🇺 - London/Nottingham - IR student - Centre-right - Zionist mouthpiece - Lib Dem - Macron stan 🇫🇷 - Insta: george.tr0,below30
Joel_Dowler,17 | Politics student | Member of the Liberal Democrats 🔸️ (@YoungLiberalsUK @HaltonLibDems) | @HaltonYC #youthvoice 🗣 | All views are my own,below30
Petros_AC,21. Commercial Music Student at Bath Spa. President of @BSULibDems. Liverpool Fan. Ex-Londoner.,below30
morganvickers11,"18, Uni Student. That’s it really.",below30
LetPurpleSayFuc,"29 / She/her / I just want to smooch my geef @sarkaystic 😘 but my $18,534.84 student loan debt is killing me. You can help https://t.co/M3vkObmzb2",below30
Liberal97,"22, Student 👨🏼‍🎓, Social Liberal 🔶, Feminist 🚺, L(G)BT+ 🏳️‍🌈.  Lover of bow ties, Taylor Swift and liberalism. Demisexual. He/Him.",below30
alice_2618,16 | london | student | vegan | 🔶,below30
GlynPreston,20 | Politics student at UoB,below30
TheArchiePowell,21 🎈| Computer Science grad 🎓| HPC PhD student📚 | Hardware enthusiast 🔌 | Rollercoaster nut 🎢 | Lib Dem 🔶 | Built to change the world ;),below30
leonminster,"born 1941, educated Taunton's School Southampton & Birmingham University. RT = understood: no more no less.",over60
tcurtisma,Senior Lecturer Faculty of Education Manchester Metropolitan University ( retired ),over60
BrianGoredemaBr,"I am a retired university lecturer. My background is in Youth & Community Work. I enjoy most sport, music, acting in murder mystery plays and worldwide travel",over60
HilaryMarchant,"First woman on Trinity Cambridge University Challenge team, still asking & occasionally answering awkward questions. GB/IRL/European.",31-59
LDNYoungLiberal,"London students and young professional @LibDems 
email: simon.mansfield@youngliberals.uk",
alexcburrows,"Transport expert (policy, strategy, tech, innovation), work in rail industry, PhD student, wine, politics, adopted Brummie, AFC Wimbledon/Girondins de Bordeaux",31-59
Doctorshaib,Senior Clinical Lecturer at University of Exeter Medical School. Over 20 years experience in Communicable Disease Control & Infectious disease management.,
JoeOTooIe,"19, student. Political/Green/LGBT+ activism. Pro-PR, pro-EU, left of centre, Green/Lab/LD in that order, tactical voter. #MakeVotesMatter #FBPE",below30
DavidLe69434628,45 years experience Cost Engineering and Project Controls in European Space industry and UK Defence. Semi retired. Pro EU.,over60
steviweavi,"100% FOREIGN! Tolerance & respect of other cultures enriches life's experiences. Remainer, have a problem with that, then jog on! #ExitFrombrexit #Peoplesvote",
Randombiz,"Semi-retired IT professional working to change Politics for Good. Recently referred to as an activist and rabble rouser, happy with that 😎",over60
JanetBLACKMAN10,1950s born woman - outraged at the abuse of women by the 3 main political parties in respect of the rapid escalation of the state pension age with no notice.,over60
jrk47,65 (but not retired due to government legislation),over60
TrishaL8,"20thC woman learning 21stC comms skills.Likes coffee,cake&chat.Interested in Mental Health,Carer issues, Epilepsy & Social Justice",
DurrantHelen,50's born WASPI woman 🕷. Working lone parent without claiming benefits. Diddled out of 6 years pension but not without a fight. Hopping mad and want my dues!!,
annwhyntie,"Interior Designer, Artist(?). Busy being retired. Retired first woman Chair of Titchfield Bonfire Boys Society. Proud to help support the community. Likes wine.",over60
alistairwallld,18 | Bristol | Lib Dem | He/Him,below30
mickhump,"65 yr old, Former Airborne Sapper, Husband/Father/Grandfather/Lib Dem/piano player (very poor)/Saints fan/ cant believe my life/wife is so wonderful.",over60
waywardcai,"19 / 🇬🇧 / 🇪🇸 / 🏳️‍🌈
Law at KCL",below30
erawnomiS,42. mostly harmless,31-59
MainesChris,"2016/2018 Chair of London 
2020 Lib Dem list candidate for London Assembly 
#LoveLondonBetter
#BetterwithBenita",
johndoran1,100% European 0% Gammon @wokinglibdems campaigner for Horsell,
AJChapmanauthor,25 years as a doctor and now an author.Three novels published and a fourth due in December 2019,below30
SilverWidow,"1950s-born widow, pension deferred twice, job-seeking and barely clinging on financially. Savings almost depleted so something will have to give soon.",over60
terminallytang1,"31 January 2020 = Doris Day: duplicitous, oligarch appeasing, recklessly irresponsible, sell-out day. To the end, to the end, We Remain.",
ch_1401,20 | @WakefieldLibDem member | Save the rhinos 🦏🌱 | pothole enthusiast,below30
LHMackay,"50s, one son, happily married, Scot living south of the border -love tweeting about politics. I have had 3 strokes.",31-59
martin97903661,"100% Remain, 100% Anti-Tory, Voting to dump Tory at all cost Save NHS, Save all Services, Fix Destitution, Fix Rail, Gas, Electric, Water, etc.",
TerenceKnott1,"28 years Commandos, then NHS, own companies U.K./Spain. Led U.K. charity assistance dogs for disabled. Retired, living S of France. Anti Brexit unpaid vol Renew",over60
GardenersArms73,"45 #iameuropean, married to @bogusianowakows @thechrisbarron is a great guy. #weloveeu #Europe #EU. 🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺 #ReJoiner #FoM",31-59
Edward_Duncan,"47 years old a genius of some sort. Is an oracle in that sometimes I see the future 🔮, but doubt in myself and for others in this is important.🇪🇺#FBPE",31-59
B3CPres,"100% Revoker, reject the 2016 Referendum, despise the hostile environment policy.",
Belfastatheart,"100% Northern Irish, Proud European, and will be beyond the delusional Brexit! My opinions are my own and they are not for changing, don’t even try!",
OliveEaton16,"12:00 on 23.07.2019 election of BJ, a.k.a Alexander Johnson, a.k.a Britain Trump, we reach bottom, Dante's Hell, a cold place without truth: shameless deceit",
remontvposaderu,25 лет,below30
kateheydonorg,"2012 acute proximal DVT with delayed diagnosis of 5 1/2 weeks, leading to clawed R. foot. Former half marathon runner. Earth sciences. Cycles for fun/transport.",
TheOldLostRoad,26yrs ME/CFS. Mother of daughters. Left/Green. I like humble people. I am mostly very quiet.🕊,below30
Deborah12474068,"58 years old, be a grown up eventually!",31-59
MadeintheBridge,30 year old (basically 26) RN who is passionate about #patientsafety #999family #mentalhealth #NurseTwitter #Resp #mensmentalhealth 🏳️‍🌈 Views are Patricia’s.,31-59
FrauBooka,"25 yrs as Head of German, resident in Bucks & Bavaria Now pt Tutor of German.❤️ Germany,Europe & multiculturalism but hate Brexit with a passion. Views my own",below30
onlyconnect71,79 year old liberal Remainer. Retired from education. #FBPE #RevokeArt.50,over60
Adrian110527,"53.2307°N,05406°W",
DanielM_W,25,below30
