,screen_name,description,label
582,rt_kerner,Independent consultant that turns ideas into action.  American that has lived in Europe for 12 years.International corporate business experience to start-up,31-59
713,IanRSlack2,"Retired. Sometime research scientist, HGV braking expert, physics master and night trunker. Not all at the same time!",over60
761,DenisKaye,"Helping SME business leaders achieve their aspirations using my experience, humanity, humility and humour.",
817,mike_seville,"Husband, dad and grandad. European. Concerned politically aware environmentalist. Some forestry experience. Wannabe where the land meets the sea.",over60
1428,EversonMeverson,"'Enemy of the People', aka expert in economic and EU law",
1870,BILStuff2018,"Escaped teacher, logic fan, languages lover, citizen of Europe, experts? Yes please! #PutItToThePeople #PeoplesVote #WASPI",over60
2110,steviweavi,"100% FOREIGN! Tolerance & respect of other cultures enriches life's experiences. Remainer, have a problem with that, then jog on! #ExitFrombrexit #Peoplesvote",
2398,DMinchellald,"Stockton Borough Councillor for Bishopsgarth and Elm Tree: @StocktonLibDems. Trauma Informed Care, Mental health professional RT =/= endorsement",31-59
2783,Designs_JoanK,"Leadership/eLearning consultant, expert in digital and social media and learning and engaging people to change behaviour and culture, Chair of the eLN board.",over60
3275,AmbasDiplomat,"Passionate mum and Campaigner, with a global experience in development. A Diplomat in making.",
3673,DarthRational,"Professional economist, investor, trader. 25 years of experience in financial markets from a trader to the CEO. Have to maintain anonymity due to my business.",
3819,Hoggle42,"QA expert, web geek, Treasurer and former Chair Green Liberal Democrats. Admirer of cats. Lover of Emma.",31-59
4233,UoMPolicy,"Influencers and shapers of public policy, based at @officialuom. Follow for robust insight, expertise and highlights from (arguably) the UK's biggest thinktank.",
4242,gm_stone,Personal Twitter account - not tweeting in any official or professional capacity.,31-59
4455,ChrislocumOA,Locum OA based in Mid Devon. Over 10 years experience. Competitive rates.,31-59
4555,youngincheshire,Lean Change and Startup consultant. 'Hi' welcome. CI expert. PI enthusiast. AI curious. DIY I try. Enjoys the outdoors with the family.,
4591,DikThird,"Trying hard to do the right thing, so aspiring to status of professional irritant.",31-59
4976,ArchieBarnett,"@LDTelfordWrekin
Studying BA Honours Journalism & Politics.
18, gay, professional procrastinator.
@politikaorg contributor.
Left Liberal, never Labour",
