,screen_name,description
36570,SarahBe78630453,"CleverFrog are a small creative website design agency based in Reading, Berkshire. We offer a wide range of design services besides bespoke website design!"
49159,InactionScandal,Exposing the Loan Charge lies
48970,RobLondon,You're entitled to your own opinions ... Not your own facts. And I bleed Scarlet & Gray... ⭕️-✋🤚! #teamgay #wandsworth #sydney #resist #dystonia
5123,katrussen,"Liberal, immigrant, European, literary, film geek, teacher, linguist 🇪🇺 🇬🇧 🇮🇹"
20503,LornaBM,
36827,stephenprescot7,"Citizen of Europe 🇧🇪~ need any more be said? Well yes actually, let’s keep it that way for everyone in the UK. 🇪🇺#RevokeA50"
33589,LiKwongKuen1,We shall never surrender 🇭🇰👥👊🏼
53823,lionrace,Passionate Europhile ⛓️🕯️🎪 🇪🇺 🇬🇧 🔶 Non-tribal #IamEuropean #HoldThemtoAccount
7852,bailey_bubu,"Lawyer, Dreamer, hates Brexit, #FBPE #StillEuropean 🇬🇧🇪🇺"
6668,Ackersstan,"Born in Worcester, England. Lib Dem member. UKC grad. Live in Derbyshire, Love Florida, also a Villa & Worcester CCC fan. Own views."
11466,ProfCaryCooper,"Professor Sir Cary Cooper, Director & Founder of Robertson Cooper, 50th Anniversary Professor of Organizational Psychology & Health at MBS Manchester University"
23390,gonsalves_andy,
26413,CookHazelCook,"Enjoying life and spreading kindness, goodwill and happiness where I can."
52346,malsimons,"Originally from the Midlands, UK. ECommerce specialist, run a web agency. Mad about movies, games, dogs, politics. Anti Brexit. Uber geek. Views are my own."
45192,Rowanpower1,
7542,sentientboomer,Former print journalist. #facepalmfatigue sufferer since 2016. #Sardine
20267,SECP1972,
3094,gg1613gon,"Budding mathematician - Interested in science, economics, politics, philosophy and mathematics. Proud 🇪🇺🏳️‍🌈"
8773,Jantyline,Motor Neurone Disease Clinical Nurse Specialist and Care Coordinator
61,brianpaddick,Lib Dem peer in the House of Lords. Ran for Mayor of London 2008 & 2012. Metropolitan Police 1976-2007. Married to Mr Petter Belsvik. He/him
54517,jamorro,"former Guardian journalist, biker, and incandescent with rage against the Tory Party and its inhumane policies."
20548,paulsutton3,
15333,BexleyMo,"Love all animals, can't cope with cruelty. Have loved horses all my life. Member of Elite Racing Club. NO DIRECT MESSAGES PLEASE."
69811,PhilHumphreys46,"Father, Husband, Head of Geography @wychwoodschool (tweeting as @wychwoodgeog) Consequently not as good at golf as he would like!"
47012,channingwalton,Partner @underscoreio. I produce software.
1301,LiamORourke4,Curiosity hasn't killed this cat (yet)
3404,Leonab,"Wife, Mother, pro European, wine drinker. #fbpe"
6415,peterandann,and a labrador
14774,AnnBarnesKent,"Despairing political ‘orphan'. LFC and Saints RL fan, and  WHDachshund slave. Former Kent PCC."
32540,Nickthegrey4,
59404,portlymonk,Trade & Development Professional
5893,Wembley1988,
22896,SNPSutherlandBR,
42705,LakesChief,"I'm the Chief Executive of the Lake District National Park, England's largest National Park."
10196,CLAtweets,"#RuralPowerhouse: https://t.co/6g1jcm9qJ7 The CLA is the membership organisation for owners of land, property and businesses in rural England and Wales."
41615,baRnby_s,"Bespoke caterer specialising in mouthwatering and colourful food and Posh Picnics. Pop up themed bistro nights in the back of the Memorial Hall, Blyth."
5097,Andrew_S_Hatton,"Dyspraxic & retired social worker who cannot get over his concern for criminal justice especially probation. worked in Merseyside, Essex & London."
46503,couiza,Welsh..and very proud....European and even more proud 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺🇪🇺.. Time to review the training for GP’s who practice remote diagnosis.
20993,Ken79646674,
18503,OldBobCyprus,Working class-EUropean-ReJoiner-Northern Monkey-Ashamed/Embarrassed-Early retiree-Stop Aristosecrecy-EUCitizenship-Stop Nazis-Stop Fascists #REJOIN ASAP
51799,jamielivemusic,Not the views of my employer - has been known to footle.
48747,mikbarton,"I'm paid to do comms and PR. Will always be European, whatever (check my ancestry). Single dad of two wonderful boys. Love snow. (Views all my own etc...)"
24188,probableroller,
28627,AquaVerde33,"Former NHS Doctor, NHS Patient, Carer, Climate campaigner, Dyslexia advocate, Hedgehog champion!"
995,Otley_BeerFest,"Held annually in November at Otley Rugby Club. Cask, Keg, Cider, Perry, Food, Entertainment. All proceeds to local charities. Visit our website for latest news."
41186,appgpoland,The official Twitter account of the All-Party Parliamentary Group on Poland in the British Parliament. Retweets aren't necessarily endorsements.
33588,hallmatthewjred,"Opinionated devils advocate, football fan, liberal, with just a little too much liking for food and wine."
4892,BirminghamPCF,Birmingham Parent Carer Forum - Building a Bridge Between Parent Carers and Their Service Providers
5260,farming_,
24991,Simon_Lucy,"I'm a left-angled trapezoid on the graph of political philosophies, apply me no labels. 

Latest book Retold Roma Stories https://t.co/dYv9geznC5"
53948,newportpaul0907,"Say it as it is, don't lie and wear your heart on your sleeve!

Always happy to be proved wrong!
Director and Lettings Investment Professional"
27991,estuaryegality,"Southern, Gay, British celt. Freedom, Egality, Ecology,  Unity. Re-tweets not necessarily an endorsement. Risk Management."
12495,DavidWorrall6,ADI. Liverpool fan. Bowie fan. music fan generally
35353,IanChittenden,
54676,PregerPreger,Teilzeitkuenstler/In; sammelt #bankerl4preger
2103,onemvfbpe,"Welcome to onemillionvoices #RRFB a grassroots group for Pro Europeans,Liberal Democrats’ & the L D leaning. Views are our own ; Please, Like & Share ?"
69878,EcrisisHotline,This is an art project. Follow me to connect with people having an existential crisis and offer support. Call 1-800 488 7211 to hear a friendly voice.
20408,CllrLizGreen,"Lib Dem Councillor for St Marks Ward, Surbiton. Leader of Royal Borough of Kingston upon Thames."
635,derickr,"Author of @Xdebug, @OpenStreetMap enthusiast, and host of @PHPIntNews podcast. Works as an independent C contractor. Stood for @LibDems🔶 in council elections."
36010,nirmski,"50 something IT manager, loves sport, play hockey(again ), golf and cricket and anything else I get asked to. Love the outdoors and sci-fi. Keen Cyclist"
11113,oberluz,"Engineer, maker of things. European Citizen. RTs do not reflect endorsement necessarily."
49802,Rhobile,"Kite designer, Kinetic sculptor"
59153,MichelinoBueno,
712,MarkJLibDem,GE2019 Parliamentary Candidate - Ilford North | Public Affairs Exec | Human Rights and Civil Liberties Enthusiast | Lib Dem
