,screen_name,description
131,Oldtimerabroad,"retired Pharmacist, proud of the NHS, supporting all those likely to be harmed by Brexit"
182,stephaniestee,"Historian, retired teacher, genealogist, LibDem."
485,clarsimps,retired Old Age Psychiatrist getting in touch with my inner peasant
494,ladypleasance,soon to be retired!
801,MickCarroll6,"#FBPE #RevokeA50 #haveDemocracy Semi-retired voluntary sector manager, consultant and coach. Retweets not necessarily endorsements"
1031,andrewfolker,"retired from a lifetime in education, enjoy travelling, reading, music, motorcycling, living in france, photography and generally being retired!"
1776,stilton54,"Born in Chislehurst, Kent: grew up in Cheltenham: Medical School in Cardiff: moved around a lot, now settled (and retired) in Bristol."
2166,DCCMalvern,"Husband, Dad. Semi-retired business and strategy advisor. Increasingly vitriolic observer of human behaviour."
2345,JoannaHorton7,"proud to be a Yorkshire lass
enjoying retired life. most important thing in life is 
family"
2453,TSLizR,"Wife, mother, grandmother, retired teacher. Thankful and grateful for today and every day."
2770,onebsquared,"Birkdale Lib Dem Councillor, Chair Social Liberal Forum @soclibforum,Mayor of Sefton 2016/17, CEO Imagine Independence(mental health) retired after 40 years"
2813,phyl_jones,Now partially retired. Sometime bowler and now sec EBUA! Provider of food to two cats & husband. AND proudly Cornish!
3180,kay_braine,Former secondary headteacher now retired and living in France.
3305,FordCarole,"#WeAreAllDanielBlake Since I retired, I enjoy following the media and seeing friends"
3350,Demimaderek,"liberal, bloody minded, retired old fart, proud Remoaner who will not give in"
4586,LouiseBevan22,"Liberal Democrat, gardener, community activist, retired agricultural/ environmental economist."
4771,geof24,"#FBPE #RejoinEU. Now retired, linguist, teacher. European. London, France , Egypt, Portugal. RT = interesting. No tweets=no follows. No messaging here."
4839,tina_jane,"Now retired and looking forward to the next new challenges, educated MBA masters degree. enjoy doing voluntary work and looking to continue in my new home are"
4984,HelenSalmon2,"I have recently retired from Headship after leading two schools in Devon. Enjoying an active retirement reading, keeping fit, volunteering and fighting brexit."
5097,Andrew_S_Hatton,"Dyspraxic & retired social worker who cannot get over his concern for criminal justice especially probation. worked in Merseyside, Essex & London."
5389,wendy65wr,retired finance manager. treasurer 4 2 charities. a lion
5615,Gillybean1961,"Farmer's wife, retired teacher, nana, avid reader of historical fiction"
5671,petertowns5,"Soldier, businessman, traveller, family man, retired, animals, antiques, politics, our world, science, LibDem, Remainer."
7380,rogervmorgan,"Dad, Accountant, charity trustee, retired clairvoyant, loves sport, like to make my own mind up, and never have enough time to do all that I want......."
7907,Neetaw1,"Mother, wife, retired, love living in a cosmopolitan environment and Pro-EU"
8001,Laconic_doc,"Largely retired geriatrician. Love medicine, pts, comms skills & teaching. Curious about too much for my own good; (usu) incorrigible optimist!"
8329,janice_ianp,"Semi-retired lecturer, nurse, mom, grandmother. Passionate for NHS, and properly funded End of Life Care. Pro EU. Views are my own."
8420,dochawking,"GP,retired 31.3.13 because of Health & Social Care Act.
Long interest in Health Informatics, esp. UK GP EPRs & single shared records.
John Perry Prize 2009"
8624,PearsLDA,Medical Director @LymeAction retired psychiatrist #lymedisease #science #humanrights #mentalhealth #cats🐱@ResearchGate: https://t.co/xcKBS9wJP9
8727,GrumpyOldDoc,Survived 38 years in NHS; patient and consultant physician; now retired. Call me Dónal.
8894,MadsEmail,Software business retired. Egalitarian Pro EU. Atheist. To the cons we aren’t collateral damage we are krill - money greed and power rules in our fair land
9303,dunkers_helen,"Female, retired teacher. Labour ( rejoined) #FBPE#RevokeA50"
9935,Perscotta,"Wife Mum and grandma.  Ex-teacher, ex most things since I retired.   Feel passionately that hurting others by words deeds or ideology is wrong"
10255,NigelLloyd10,"Grandy, retired but busy, 70’s teenager, don’t understand where the years went."
10496,JoiaGlass,"Wife & Husband team who worked together designing, producing and marketing glass art now retired"
10875,Politics4AR,Barrister (retired); now a grumpy old woman; opposed to all adverse discrimination; vegan; veteran (since 1980) proponent of animal rights.
11190,Stephen19540131,"Love travel, languages, music & news. Semi-retired after 30 yrs a CFO. Future Fiction Writer & NED Married, with 1 engaged daughter Rtws are not endorsements."
11509,Denis_of_Lymm,"Semi- retired web designer & IT Adviser.  Liberal Democrat, Catholic, Catenian, Cyclist, Photographer. My Views are my own"
12331,manlygray1,Graham Hankin formerly C/S traveling the world now retired & back in UK
12354,pgmatthew,"Humanist, Liberal, retired Chartered Accountant."
14155,tcurtisma,Senior Lecturer Faculty of Education Manchester Metropolitan University ( retired )
14968,salib0329,"Still licking wounds after being shot in the foot! Multilingual retired teacher from North West Wales. Love my dog, books & garden. #YesCymru 🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿"
15088,MarkEuromark,"Taught maths (10y) Ran own  business (33y) English & European. Now retired. Learning German. Partner is Ger. by birth, Brit. by choice. #FBPE #Remain #Rejoin"
15155,Alba40,retired NHS nurse british European living in Europe No pension #WASPI No right to vote having my eu citizenship taken away against my will #stopbrexit
15252,rvh1t,retired public servant and cat lover
15812,Pipal1735,"Imps supporter, retired teacher, European."
16369,fbear999,Politically light Blue. Semi retired.  Hoping  for a good  deal on Brexit. Celebrating a great result for British democracy. Want more money for Public services
18471,jonlincbrown,"Pretend retired journalist among many other things. I think poverty is the greatest social injustice. An old fool, who upsets others, but lucky to be much loved"
18552,GerdiRunte,"European citizen, retired charity worker, UK citizen, German-born, passionate European and traveller - Life is short, take all it’s worth!"
19679,Chlivben,Recently retired Northerner. Would never vote for a Tory. Desperately hoping the system will spare us from leaving the EU.
19975,Cluckyhenny,"Former teacher and swimming instructor, retired, family in UK, have been in Brittany for 15 years, planning to return to Wales soon #Rejoiner 🇪🇺 No DMs please"
20422,vmiddleton306,Hi..retired from hairdressing..love travel..history..meeting friends..music Beatles Byrd's James Morrison..lots more.
20464,devoncatt,"Wokingham Borough Councillor, Parish Councillor, Dog Walker, retired Eye Doctor, School Governor , Commited to improving life in Winnersh.
Liberal Democrat"
20675,Markisanders61,"ex asset manager for 37 years now retired and a local school-governor, and involved with local charities ,crystal palace fan and pro Europe"
21099,dji45,"Arthritic old git retired from the NHS. Widower who muddles on regardless. Loves ITFC and big fan of Rush, Floyd, Genesis, Marillion etc #FBPE"
23020,rushworth_jim,"Liberal, no time for nationalism, massive Leeds Rhinos fan , retired Goth"
23603,LordStras,"Lib Dem peer, retired entrepreneur. Trying to protect privacy and democracy from attacks by governments and companies. Supports Bath Rugby despite everything."
24082,jeanmedavis,"Recovering politician, Climate Activist, European, pet carer to Harry & Toby. Enjoying retirement in the Highlands & trying to stay retired! Be kind, run free!!"
