,screen_name,description,label
45,George_Tr0,19 - 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🇭🇺 - London/Nottingham - IR student - Centre-right - Zionist mouthpiece - Lib Dem - Macron stan 🇫🇷 - Insta: george.tr0,below30
142,CllrBobBarr,"Liberal Democrat Group Leader Warrington Borough Council, Geographer, FRSA, Visiting Professor University of Liverpool. Want a close relationship with Europe!",
319,iAntsaoir,Retired Senior System / Functional Safety Consultant. Now focusing on my 50+ year interest in Archaeology; studying @ The University of the Highland and Islands,
335,dbkell,Liverpool University researcher. Systems Biologist. ENTJ. CBE. ORCID 0000-0001-5838-7963 No brexit lies.#saboteur #FBPE https://t.co/9z5KQG7FSj,31-59
462,AaronH300497,"East European Languages and Cultures student at UCL, London. 
Erasmus+ w Polsce. West Country born Lib Dem
#FBPE #FBR #stopBrexit #jestemLGBT 🇪🇺🇪🇺🇪🇺",below30
585,bingohandjive,Finalist in @thelondonmag Short Story Competition. Investor in @madsquirrelbrew. International student recruitment specialist. All views my own.,31-59
674,JoeJohnsonTod,"Lib Dem Prospective Parliamentary Candidate for Worsley and Eccles South, campaigner, student @SalfordUni_PCH. Contact: Joe@SalfordLibDems.org.uk",below30
682,TheoLong1999,"Liberal Democrat, President of @UofWLibDems, Medieval/Renaissance history student, social democrat",below30
715,RHHassall,"Ret'd clinical psychologist. Now doing PhD on philosophy of psychiatry, Philosophy Dept University of Sheffield. LibDem. 🇬🇧🇪🇺 Blocked by many Brexiters.",
872,Andymorgantwit,"Emeritus Professor of Virology, University of Bristol",
1132,Huwniverse,"Proud @NorthSomersetC Councillor for Portishead South // Board Member @Alliance_Homes // UWE GDL Student // Liberalism, Linguistics, and Cider 🏳️‍🌈",below30
1179,MattCoot,"Writer. Postgraduate student. Regularly comments upon politics and current affairs, and sometimes about mental health. Proud to be dangerous and extreme 🔶",below30
1563,clrnicksandford,"Lib Dem leader PCC, Paston & Walton councillor. Republic & Notts CCC supporter. Work in conservation but views my own . Student of all things political.",
2438,Joel_Dowler,17 | Politics student | Member of the Liberal Democrats 🔸️ (@YoungLiberalsUK @HaltonLibDems) | @HaltonYC #youthvoice 🗣 | All views are my own,below30
2449,amymariemason,"#stats researcher in Mendelian Randomization at University of Cambridge. 
Disabled, part-time worker. Enjoys outreach, teaching and LARP. She/Her.",
2862,atreoborfirst,"Bass singer, chartered engineer (MIEE), student of philosophy (Birkbeck) & tai chi. Lay contributor NHS (NIHR) research projects using 'big data'.",
3103,HilaryMarchant,"First woman on Trinity Cambridge University Challenge team, still asking & occasionally answering awkward questions. GB/IRL/European.",
3423,wilcox_ps,#FBPE former researcher at University of Brighton passionate about improving women and children's lives today,
3754,JHinkley24,"Ex-teacher, student of local history and anti Brexit campaigner. Blocked by that idiot John Redwood MP. Don't add me to lists because I will just block you.",
3854,MatthewR0226,"History and politics student at the Uni of Liverpool, Lib Dem member and Pro-EU. Mostly politics and any of my other ramblings.",below30
