,screen_name,description
126,NotRichYoungFa1,"Family man caught up in #LoanCharge nightmare.. no rich fat cat, no luxurious lifestyle... no future?"
661,SueQueenborough,I am a woman who loves life and appreciates myself and others daily. Presenter of Esoteric Yoga and Esoteric Health practitioner
1286,OldWallerd,"A middle-age man from SE England rambling round the Spanish countryside.
Caminar es atesorar. #FBPE"
1291,tassiedi,Die-hard WASPI. Love anything that will make me laugh. Grumpy old woman with attitude. Hate people who make my life difficult and who make victims of others!
1954,PeteCox7,An opinionated old man who wants to remain in the EU
2328,razumova,I write books. Bollocks to Brexit. Grumpy old woman and general old git. Mental health issues. Rootless cosmopolitan. *Expect book promo stuff and politics
3103,HilaryMarchant,"First woman on Trinity Cambridge University Challenge team, still asking & occasionally answering awkward questions. GB/IRL/European."
3956,caro_oliviers,"‘No man is an Island’ John Donne, 1624. Wants to live, share, stay united, respect nature & each other in the EU. 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🐈🌱"
4114,faridi_lovely,I am common man belong from islaam
5091,CaitlinRose52,Lib Dem | Trans woman | Director @kds_at_fringe | If found please return to @KeeleDramaSoc | she/her
5683,LauraHarrisonM2,"No man is an island,
Entire of itself.
Each is a piece of the continent,
A part of the main.
If a clod be washed away by the sea,
Europe is the less. -- Donne"
6268,michaellevett42,"Business man & ardent supporter of the #EU member of the @LibDems & National Leasehold Campaign!
 #PeoplesVote #stopbrexit @EdwardJD @KingstonLibDems #RevokeA50"
7480,patrickensor2,"Retd Soldier, now a Reservist. Family man and @Arsenal supporter. Very angry about quite a lot of stuff. 🌹🌹🌹(I’m not new to Twitter, just took a break)"
7663,thegarypayne,"A man with and of many hats. #Law Trained #DPO, #DataProtection & #GDPR Specialist working internationally; Accredited #Trainer and #Assessor."
9663,potholes48,"Antediluvian Jill of all trades, now mostly out to grass. Recent events suggest I may man the barricades yet. This seems truer now than when I wrote it."
10270,JanetBLACKMAN10,1950s born woman - outraged at the abuse of women by the 3 main political parties in respect of the rapid escalation of the state pension age with no notice.
10418,FastCityMan,"The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one. J.D.Salinger"
11066,ElanmanS4,An ordinary man I own a 1969 Lotus Elan best cars ever made Pro EU one of the 48%. 3 Golden Retrievers. Blocked for the Pinned Tweet by Nigel Evans MP RT
11097,FrankCaithness,"🔶Liberal Democrat,
🏳️‍🌈LGBT,
🍳 Foodie,
And the crazy ferret man of Caithness,
Unassuming furry faced man-creature living in the Highlands 😁"
11374,mcharlesworth71,A mum of 3 strapping boys and grandma to Oscar. A woman with drive & enthusiasm for life. Proudly Feminist. A cricket wife & mother!  Rebel for life 🐝⌛🦋
11377,TDoyleCarasol,"Passionate Remainer, Compassionate Human. Prepared to man the barricades against those who would destroy our liberal democracies in the UK, EU and even the USA."
11743,JohnDagnell_ppr,"Music Promotion, Artist Management Family man and cup half full kind of guy."
12393,Fuzzysongman,He/Him/His. Leave a light on. “I would rather be a man of paradoxes than a man of prejudices.”
12498,SamJone88527816,family man love live music and football
14785,wildwalkerwoman,"Disabled, dirt-poor, state pension-deprived woman being healed of the social/political lie that I'm worthless, by real-life angels posing as *ordinary people*"
14983,RachelG21879460,raising teenage man cubs to be good citizens of the world who should be able to travel freely #Pro EU. No to small mindedness and racists
15658,MusicworksJon,"Mentorist, Foster Carer extraordinaire, Child Care Specialist, Youth motivation. Now producing a rap album with a young man to raise awareness of Aspergers."
16211,Oakington62,"Will never believe in Leave. Member of LibDems & 4 Cricket clubs - Lord’s regular, volunteers at Cambridge Uni and Histon. Jumps man in winter. Views my own."
17892,KateWilton1,"Just an ordinary woman in an extraordinary world. Now joining the movement to rejoin the EU. Never a Brexit supporter, still a Northerner."
18137,p_strelley,"works at Europa,.driver, Dartford. loves reading, currently reading the works of Martin granger. oh man great reading"
21125,JoshBanksy1,new pitch. same match. ball’s up man takes the catch. resilience. focus. used to save shots now I’m saving cash 💰🎶 🎙🎧📸💙🤍
21475,noel_satchell,the love of my woman janice hardman we are clean honest and engaged
21730,therealjane01,"One woman think tank. Supporter of good manners, honesty and trust. Interested in the environment, politics, education and common sense. Proud #Libdem"
28754,davidcoppin,cant be arsed with this.  am looking after my old man still.  he is well old now.  93 in fact.
30185,AndyFle87771888,A man full of action!
30470,nobbyd,the man in the foam suit! what you get: oxford united #oufc; board games; U14 football coaching @ Crendon Corinthians
30759,annwhyntie,"Interior Designer, Artist(?). Busy being retired. Retired first woman Chair of Titchfield Bonfire Boys Society. Proud to help support the community. Likes wine."
32875,cjneet,An english woman living in Wales who realises that the EU is not perfect but believes we are better in than out.
32944,Ricochetrabbitt,"Grandson of Spanish Donegal immigrants and Derbyshire miners. Truth, equality and justice.  A good man in a bad time. Et in arcadia ego
#IStandWithCarole"
33170,thehugemanhugh,You're not half the man your mother was!
35452,tnurse77,Family man who is determined to make a full recovery from paralysis. Kicked cancers butt and hope I’ve inspired others to do the same
36708,LiddleSavages,"Just a woman locked in her own bathroom (lost somewhere in a book)appetite for all things BAD FOR YOU tequila, cupcakes, chocolate, 5in heels... 21+ #Resistance"
37183,WinstonScott22,"Just a man with a beautiful family and a business taking 15 years hard work to build, trying to make it through this selfish, crazy world."
38159,falcos2012,"just another blind man in this crazy reality called England.  Passions: Argentique photography, science, technology, beer, books & the toon army."
39857,acheremeteff01,"Hi I`m a  woman from Belfast. I love science fiction, alternate history, European history, space exploration. I hate Brexit, Trump, the far right.  ❤️🇪🇺"
40012,ChallonerSara,Middle aged woman who used to have a life and never thought she'd have to spend her evenings on Twitter trying to fight Brexit madness.
42136,paulhamilton005,rangers man United bit gaming wwe few tv shows game thrones supernatural and channel 4 the circle
42821,Steven52841,"A man convinced against his will, will always be the same man still.

Against 2 tier policing and 2 tier journalism"
43342,RightAngleUK,"Rather grumpy, emotionally lefty old man annoying people in his retirement - 100% pro-Europe & getting greener every day, so unlikely to be popular with Tories!"
45002,TobyBarker77,"PR man specialising in energy, infrastructure and the built environment. Views are my own."
46597,DamienVFletcher,"PR man and ex-national newspaper journalist. Passionately pro-EU. Love playing the piano, swimming & watching David Lynch movies – preferably at the same time!"
47631,actru,religion is an invention of man based on fear & ignorance. It kills the truth - and people. Pro Europe.
49532,rbrc1959,"“Yes, man made the waterfall over the dam, to temper his tantrum with magic. Now you can't be sure of that tent of azure, since he punched a hole in the fabric”"
49877,albertpweale,Emeritus Professor of Political Theory and Public Policy UCL. Views my own.  'For what shall it profit a man to gain the whole world and lose his soul?'
51636,ItWasJustBanter,Football man and homosexuality fan.
53878,BO55T,"A woman that does. Fact geek who reads everything. Strong opinions on most subjects, but they are my own. Recently widowed after caring 4 husband for many years"
55691,Gusseteer,"Is ""a grown man who spends far too much time dicking around with Lego"" according to his wife. Oh and I very occasionally write some music."
58534,aliruane,"Bouncy voice actor, soundsmith, video and motion graphics producer, living in the Mecca of West Yorkshire. Blissfully wed and a happy dad.
luckiest man alive!"
61891,KevinRampling,"Ex oarsman, triathlete, marathon runner, sailor, director. Now fat man on serial diets, love food & wine, Hse restoration,  gardening, golf, dancing."
62755,DavidSteward7,"Lawyer, writer and sax player. ""When a man is tired of jazz, he's tired of life."" (Dr Johnson)"
65305,wilsmadein85,"Marketing guru Lifelong Man Utd fan, serial moaner about politics & memory man of weird football facts"
66029,DCathmhaoil,"Northern Irish man in Manchester. loving, funny but serious about my Politics, LGBT+ issues, my LDS faith and animals."
66158,MeliorateH,The woman in the German car. Founding member of @WEP_UK. English teacher. Chair of governors. My many opinions are entirely my own. Farnham Youth Choir parent.
66365,LoanChargeGuy,A family man about to go BANG...
67875,fred4reform,"Wit, wine drinker, cynic, gardener, media man passionate about truth and tango dancing"
68322,lesleyanne14,"I get annoyed about the way we treat our planet, fellow man and leaving the EU/WHEN FACTS CHANGE, MINDS CAN CHANGE but this makes me deeply unhelpful!"
69702,TrishaL8,"20thC woman learning 21stC comms skills.Likes coffee,cake&chat.Interested in Mental Health,Carer issues, Epilepsy & Social Justice"
70216,jennystew63,Canadian woman living in Sussex married to a man who is half Austrian I met whilst living in Hong Kong - #citizenofnowhere.
70362,DurrantHelen,50's born WASPI woman 🕷. Working lone parent without claiming benefits. Diddled out of 6 years pension but not without a fight. Hopping mad and want my dues!!
