,screen_name,name,description,female
7,Drystonesonnet,David Eyles,Retired livestock farmer and conservationist. Writes for Country Squire Magazine: https://t.co/y9fyIBp5Yw  Currently writing book on the uplands of Britain.,2
25,Freedom2b1,Just Intime,,
26,Diasubaldo,UB,,
59,CCHQPress,CCHQ Press,Official Conservative Party Press Office - providing snippets of news and commentary from CCHQ,
67,Grado779,James Marsh ❌,Chief interests politics & animal welfare support Brexit  & banning cruel ritual religious animal slaughter hoping UK will become world leader on animal welfare,2
73,allydoc2,allison doherty,,1
84,WeBackBoris,We #BackBoris,The guerrilla campaign to #BackBoris👍🏻 #VoteConservative🌳 #GE2024🗳 #GotBrexitDone🇬🇧 #VoteLeave #TakeBackControl,
110,CarolAnneMarti2,CarolAnneMartin,,1
112,PetroNicolaides,Prof. Petro Nicolaides,"Blue Brummie Anglo Hellenic Cypriot.
Visiting Professor @MyBCU @BCUBusiness
Governor @ArdenAcademy & @ROHNHSFT
Team @andy4wm
My own views & RT not endorsement",2
114,Marshmyst,💙Claire B 🇬🇧 Got Brexit Done 👜,"Conservative, we finally #GotBrexitDone",
122,DawnBromley1,DB75❣,,
129,EthanRayne,Brian Sinai,"Former contemporary of Rupert Giles. Skilled Sorcerer, Magical Subcontractor & Purveyor of Chaos.",2
134,1minutetoeleven,Lizany,"proud member of the cult of tony blair and world's only peter mandelson stan account (apparently)
alleged mad freak🥀🏳️‍🌈",
138,camposaurus1,NO WAR WITH IRAN,"Studying sociology at the University Of Manchester, interested in politics and LGBT+ rights. Member of the Labour Party. 5’6 & 21. LEFT",
142,breakingthelaur,rae 🌸⚔️,22 // she/her // @BalancePowerUK // @UniofGreenwich // 🇬🇧 Labour/🇺🇸 Democrat // @Labour_Trans co-founder,1
150,AlexMoz95,Alex Moore,One Nation Tory ~ Currently working in Parliament ~ UoN Graduate ~ OB ~ Views are my own,
151,noahlibertarian,Noah Sorensen🏳️‍🌈✡️🇮🇱 #Buttigieg2020 #Weld2020,"right libertarian ° values freedom ° bi 🏳️‍🌈 ° Jew ✡️ ° Zionist 🇮🇱 ° model account @noahmodeling ° votes Tory, but not a member",
168,lockepark,michael galvin,,2
192,Certified_Ellis,Max Ellis,,
208,DavidPBMaddox,David Maddox,"Political editor of The Sunday Express after much fun with the Daily Express, Scotsman, Aberdeen Evening Express, Portsmouth News & Stratford Herald",2
229,Ayodele172222,Olukunle7,,
234,jonathan_h3459,Jonathan,Snapchat:jonathan3459 London,2
250,60phil,Philip Wynne-Daniels,,2
268,BARSONMARS,Mike Hunt,73 year old staunch conservative and Brexiter. Retired but still keep interest in Cyber Security Lived in many countries and now 100% England. PLEASE - NO DM's,2
275,MotoGPGran,Pammie,,
278,PcWillard,pcWillard,"Proud to be backing Boris and the Conservative & Unionists in Hastings & Rye , Great candidate Sally-Anne Hart , Get Brexit Done.",
282,DuLaPeep13,Anna Oupe,here 4 the T,1
286,classicrox,The Merry Brexiteer,Twitters runner up Polemicist 2019 #standup4Brexit #peoplesprorogue #myvotecounts #getusout,
289,BrianAnder1974,Brian Anderson,"Long distance trucker, keep me entertained!!",2
292,EdwardCalame,Edward Calame,"Opinions my own. RT's ≠ endorsements. I don't do DM's. Twitter is not a dating service. You can also find me on  Gab, Facebook and Free Talk.",2
316,JulieGregory8,Julie Gregory ☯️,,1
